IPRD_ID,IPRD_REFERENCE,IPRD_SIGNATURE_DATE,Reflected_Date,COMP_LEGAL_NAME,DECL_IS_PROP_FLAG,LICD_DEC_PREP_TO_GRANT_FLAG,LICD_REC_CONDI_FLAG,DIPG_ID,DIPG_DISPLAY_NUMBER,DIPG_EXTERNAL_ID,Standard,Ess_To_Standard,WI_Type,WOIT_ETSI_DELIVERABLE_NUMBER,WOIT_REFERENCE,WOIT_VERSION,3GPP_Type,TGPP_NUMBER,TGPV_VERSION,Patent_Type,PATT_APPLICATION_NUMBER,PUBL_NUMBER,PBPA_TITLEEN,PBPA_PRIORITY_NUMBERS,Country_Of_Registration,PBPA_APP_DATE,ETPR_ID,ETPR_ACRONYM,Ess_To_Project,Illustrative_Part,DIPG_PATF_ID,Original_Application_Number,Original_Publication_Number,Explicitely_Disclosed,Normalized_Patent,2G,3G,4G,5G
2472,ISLD-201701-003,2017-01-04,2017-01-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,44940,1,-1,TS 136 211 (RTS/TSGR-0136211va00) version 10.0.0 -- 3GPP TS 36.211 version 10.0.0,1,TS,136 211,RTS/TSGR-0136211va00,10.0.0,TS,36.211,10.0.0,Basis Patent,US201314065976,US9276719B2,"METHOD AND APPARATUS FOR GENERATING PILOT TONE IN ORTHOGONAL FREQUENCY DIVISION MULTIPLEXING ACCESS SYSTEM, AND METHOD AND APPARATUS FOR ESTIMATING CHANNEL USING IT",-1,US UNITED STATES,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0
2472,ISLD-201701-003,2017-01-04,2017-01-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,44940,1,-1,TS 136 212 (RTS/TSGR-0136212va00) version 10.0.0 -- 3GPP TS 36.212 version 10.0.0,1,TS,136 212,RTS/TSGR-0136212va00,10.0.0,TS,36.212,10.0.0,Basis Patent,US201314065976,US9276719B2,"METHOD AND APPARATUS FOR GENERATING PILOT TONE IN ORTHOGONAL FREQUENCY DIVISION MULTIPLEXING ACCESS SYSTEM, AND METHOD AND APPARATUS FOR ESTIMATING CHANNEL USING IT",-1,US UNITED STATES,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0
2472,ISLD-201701-003,2017-01-04,2017-01-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,44940,1,-1,TS 136 211 (RTS/TSGR-0136211v890) version 8.9.0 -- 3GPP TS 36.211 version 8.9.0,1,TS,136 211,RTS/TSGR-0136211v890,8.9.0,TS,36.211,8.9.0,Basis Patent,US201314065976,US9276719B2,"METHOD AND APPARATUS FOR GENERATING PILOT TONE IN ORTHOGONAL FREQUENCY DIVISION MULTIPLEXING ACCESS SYSTEM, AND METHOD AND APPARATUS FOR ESTIMATING CHANNEL USING IT",-1,US UNITED STATES,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0
2472,ISLD-201701-003,2017-01-04,2017-01-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,44940,1,-1,TS 136 331 (RTS/TSGR-0236331v880) version 8.8.0 -- 3GPP TS 36.331 version 8.8.0,1,TS,136 331,RTS/TSGR-0236331v880,8.8.0,TS,36.331,8.8.0,Basis Patent,US201314065976,US9276719B2,"METHOD AND APPARATUS FOR GENERATING PILOT TONE IN ORTHOGONAL FREQUENCY DIVISION MULTIPLEXING ACCESS SYSTEM, AND METHOD AND APPARATUS FOR ESTIMATING CHANNEL USING IT",-1,US UNITED STATES,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0
2746,ISLD-201704-010,2017-05-02,2017-06-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,52213,1,-1,TS 125 214 (RTS/TSGR-0125214v5b0) version 5.11.0 -- 3GPP TS 25.214 version 5.11.0,1,TS,125 214,RTS/TSGR-0125214v5b0,5.11.0,TS,25.214,5.11.0,Family Member,CN2004145794,CN100364247 C | CN1555136 A,Method for controlling transmission power,|JP20000204181|JP20000220344|JP20000231256|JP20000232270|,CN CHINA,2001-06-25,133,3GPP | Third Generation Partnership Project,1,-1,26606,-1,-1,0,1,0,1,0,0
2746,ISLD-201704-010,2017-05-02,2017-06-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,52213,1,-1,TS 125 214 (RTS/TSGR-0125214v5b0) version 5.11.0 -- 3GPP TS 25.214 version 5.11.0,1,TS,125 214,RTS/TSGR-0125214v5b0,5.11.0,TS,25.214,5.11.0,Family Member,EP20050025574,EP1630972 A2 | EP1630972 A3 | EP1630972 B1,Communication terminal apparatus,|EP20010941209|EP20050000430|JP20000204181|JP20000220344|JP20000231256|JP20000232270|,EP European Patent Office,2001-06-25,133,3GPP | Third Generation Partnership Project,1,-1,26606,-1,-1,0,1,0,1,0,0
2746,ISLD-201704-010,2017-05-02,2017-06-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,52213,1,-1,TS 125 214 (RTS/TSGR-0125214v5b0) version 5.11.0 -- 3GPP TS 25.214 version 5.11.0,1,TS,125 214,RTS/TSGR-0125214v5b0,5.11.0,TS,25.214,5.11.0,Family Member,JP20090197228,JP2009284534 A | JP4431189 B2,"RADIO COMMUNICATION DEVICE, RADIO COMMUNICATION METHOD, AND RADIO COMMUNICATION SYSTEM",|JP20000204181|JP20000220344|JP20000232270|JP20090197228|,JP JAPAN,2009-08-27,133,3GPP | Third Generation Partnership Project,1,-1,26606,-1,-1,0,1,0,1,0,0
2746,ISLD-201704-010,2017-05-02,2017-06-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,52213,1,-1,TS 125 214 (RTS/TSGR-0125214v5b0) version 5.11.0 -- 3GPP TS 25.214 version 5.11.0,1,TS,125 214,RTS/TSGR-0125214v5b0,5.11.0,TS,25.214,5.11.0,Family Member,JP20090197229,JP2009284535 A | JP4431190 B2,"RADIO COMMUNICATION DEVICE, RADIO COMMUNICATION METHOD, AND RADIO COMMUNICATION SYSTEM",|JP20000204181|JP20000220344|JP20000232270|JP20090197229|,JP JAPAN,2009-08-27,133,3GPP | Third Generation Partnership Project,1,-1,26606,-1,-1,0,1,0,1,0,0
2746,ISLD-201704-010,2017-05-02,2017-06-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,52213,1,-1,TS 125 214 (RTS/TSGR-0125214v5b0) version 5.11.0 -- 3GPP TS 25.214 version 5.11.0,1,TS,125 214,RTS/TSGR-0125214v5b0,5.11.0,TS,25.214,5.11.0,Family Member,JP20090197230,JP2009284536 A | JP4431191 B2,RADIO COMMUNICATION SYSTEM AND RADIO COMMUNICATION METHOD,|JP20000204181|JP20000220344|JP20000232270|JP20090197230|,JP JAPAN,2009-08-27,133,3GPP | Third Generation Partnership Project,1,-1,26606,-1,-1,0,1,0,1,0,0
2746,ISLD-201704-010,2017-05-02,2017-06-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,52213,1,-1,TS 125 214 (RTS/TSGR-0125214v5b0) version 5.11.0 -- 3GPP TS 25.214 version 5.11.0,1,TS,125 214,RTS/TSGR-0125214v5b0,5.11.0,TS,25.214,5.11.0,Family Member,US20020322425,US2003087644 A1,Communication terminal apparatus and base station apparatus,|JP20000204181|JP20000220344|JP20000231256|JP20000232270|US20020069267|US20020322425|,US UNITED STATES,2002-12-19,133,3GPP | Third Generation Partnership Project,1,-1,26606,-1,-1,0,1,0,1,0,0
