IPRD_ID,IPRD_REFERENCE,IPRD_SIGNATURE_DATE,Reflected_Date,COMP_LEGAL_NAME,DECL_IS_PROP_FLAG,LICD_DEC_PREP_TO_GRANT_FLAG,LICD_REC_CONDI_FLAG,DIPG_ID,DIPG_DISPLAY_NUMBER,DIPG_EXTERNAL_ID,Standard,Ess_To_Standard,WI_Type,WOIT_ETSI_DELIVERABLE_NUMBER,WOIT_REFERENCE,WOIT_VERSION,3GPP_Type,TGPP_NUMBER,TGPV_VERSION,Patent_Type,PATT_APPLICATION_NUMBER,PUBL_NUMBER,PBPA_TITLEEN,PBPA_PRIORITY_NUMBERS,Country_Of_Registration,PBPA_APP_DATE,ETPR_ID,ETPR_ACRONYM,Ess_To_Project,Illustrative_Part,DIPG_PATF_ID,Original_Application_Number,Original_Publication_Number,Explicitely_Disclosed,Normalized_Patent,2G,3G,4G,5G
2472,ISLD-201701-003,2017-01-04,2017-01-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,44940,1,-1,TS 136 211 (RTS/TSGR-0136211va00) version 10.0.0 -- 3GPP TS 36.211 version 10.0.0,1,TS,136 211,RTS/TSGR-0136211va00,10.0.0,TS,36.211,10.0.0,Basis Patent,US201314065976,US9276719B2,"METHOD AND APPARATUS FOR GENERATING PILOT TONE IN ORTHOGONAL FREQUENCY DIVISION MULTIPLEXING ACCESS SYSTEM, AND METHOD AND APPARATUS FOR ESTIMATING CHANNEL USING IT",-1,US UNITED STATES,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0
2472,ISLD-201701-003,2017-01-04,2017-01-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,44940,1,-1,TS 136 212 (RTS/TSGR-0136212va00) version 10.0.0 -- 3GPP TS 36.212 version 10.0.0,1,TS,136 212,RTS/TSGR-0136212va00,10.0.0,TS,36.212,10.0.0,Basis Patent,US201314065976,US9276719B2,"METHOD AND APPARATUS FOR GENERATING PILOT TONE IN ORTHOGONAL FREQUENCY DIVISION MULTIPLEXING ACCESS SYSTEM, AND METHOD AND APPARATUS FOR ESTIMATING CHANNEL USING IT",-1,US UNITED STATES,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0
2472,ISLD-201701-003,2017-01-04,2017-01-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,44940,1,-1,TS 136 211 (RTS/TSGR-0136211v890) version 8.9.0 -- 3GPP TS 36.211 version 8.9.0,1,TS,136 211,RTS/TSGR-0136211v890,8.9.0,TS,36.211,8.9.0,Basis Patent,US201314065976,US9276719B2,"METHOD AND APPARATUS FOR GENERATING PILOT TONE IN ORTHOGONAL FREQUENCY DIVISION MULTIPLEXING ACCESS SYSTEM, AND METHOD AND APPARATUS FOR ESTIMATING CHANNEL USING IT",-1,US UNITED STATES,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0
2472,ISLD-201701-003,2017-01-04,2017-01-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,44940,1,-1,TS 136 331 (RTS/TSGR-0236331v880) version 8.8.0 -- 3GPP TS 36.331 version 8.8.0,1,TS,136 331,RTS/TSGR-0236331v880,8.8.0,TS,36.331,8.8.0,Basis Patent,US201314065976,US9276719B2,"METHOD AND APPARATUS FOR GENERATING PILOT TONE IN ORTHOGONAL FREQUENCY DIVISION MULTIPLEXING ACCESS SYSTEM, AND METHOD AND APPARATUS FOR ESTIMATING CHANNEL USING IT",-1,US UNITED STATES,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0
2746,ISLD-201704-010,2017-05-02,2017-06-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,52517,2,-1,TS 136 331 (RTS/TSGR-0236331v8g0) version 8.16.0 -- 3GPP TS 36.331 version 8.16.0,1,TS,136 331,RTS/TSGR-0236331v8g0,8.16.0,TS,36.331,8.16.0,Basis Patent,US20060162592,US2009116434 A1 | US8576784 B2,UPLINK RESOURCE ALLOCATION IN A MOBILE COMMUNICATION SYSTEM,|EP20060002248|WO2006EP10521|,US UNITED STATES,2006-11-02,133,3GPP | Third Generation Partnership Project,1,-1,26646,-1,-1,1,1,0,0,1,0
2746,ISLD-201704-010,2017-05-02,2017-06-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,52518,3,-1,TS 125 321 (RTS/TSGR-0225321v6I0) version 6.18.0 -- 3GPP TS 25.321 version 6.18.0,1,TS,125 321,RTS/TSGR-0225321v6I0,6.18.0,TS,25.321,6.18.0,Basis Patent,US20100770172,USRE44576 E,System and method for channel transport format allocation in a wireless communication system,|GB20010016555|US20020190458|US20100770172|,US UNITED STATES,2010-04-29,133,3GPP | Third Generation Partnership Project,1,-1,26647,-1,-1,1,1,0,1,0,0
2746,ISLD-201704-010,2017-05-02,2017-06-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,52519,4,-1,TS 136 211 (RTS/TSGR-0136211va00) version 10.0.0 -- 3GPP TS 36.211 version 10.0.0,1,TS,136 211,RTS/TSGR-0136211va00,10.0.0,TS,36.211,10.0.0,Basis Patent,US20070521370,US2010040159 A1 | US8588274 B2,"METHOD AND APPARATUS FOR GENERATING PILOT TONE IN ORTHOGONAL FREQUENCY DIVISION MULTIPLEXING ACCESS SYSTEM, AND METHOD AND APPARATUS FOR ESTIMATING CHANNEL USING IT",|KR20060135417|WO2007KR06761|,US UNITED STATES,2007-12-21,133,3GPP | Third Generation Partnership Project,1,-1,26648,-1,-1,1,1,0,0,1,0
2746,ISLD-201704-010,2017-05-02,2017-06-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,52519,4,-1,TS 136 212 (RTS/TSGR-0136212va00) version 10.0.0 -- 3GPP TS 36.212 version 10.0.0,1,TS,136 212,RTS/TSGR-0136212va00,10.0.0,TS,36.212,10.0.0,Basis Patent,US20070521370,US2010040159 A1 | US8588274 B2,"METHOD AND APPARATUS FOR GENERATING PILOT TONE IN ORTHOGONAL FREQUENCY DIVISION MULTIPLEXING ACCESS SYSTEM, AND METHOD AND APPARATUS FOR ESTIMATING CHANNEL USING IT",|KR20060135417|WO2007KR06761|,US UNITED STATES,2007-12-21,133,3GPP | Third Generation Partnership Project,1,-1,26648,-1,-1,1,1,0,0,1,0
2746,ISLD-201704-010,2017-05-02,2017-06-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,52520,5,-1,TS 136 304 (RTS/TSGR-0236304v8a0) version 8.10.0 -- 3GPP TS 36.304 version 8.10.0,1,TS,136 304,RTS/TSGR-0236304v8a0,8.10.0,TS,36.304,8.10.0,Basis Patent,US201313852735,US2013217394 A1 | US8897785 B2,Multi-Mode Mobile Communication Terminal and Mode Switching Method Thereof,|KR20040014700|KR20040022949|KR20040022954|KR20040033866|US20070591822|US201113236076|US201313852735|WO2005KR00600|,US UNITED STATES,2013-03-28,133,3GPP | Third Generation Partnership Project,1,-1,18378,-1,-1,1,1,0,0,1,0
2746,ISLD-201704-010,2017-05-02,2017-06-27,Guangdong OPPO Mobile Telecommunications Corp Ltd,1,1,1,52517,2,-1,TS 136 211 (RTS/TSGR-0136211v890) version 8.9.0 -- 3GPP TS 36.211 version 8.9.0,1,TS,136 211,RTS/TSGR-0136211v890,8.9.0,TS,36.211,8.9.0,Basis Patent,US20060162592,US2009116434 A1 | US8576784 B2,UPLINK RESOURCE ALLOCATION IN A MOBILE COMMUNICATION SYSTEM,|EP20060002248|WO2006EP10521|,US UNITED STATES,2006-11-02,133,3GPP | Third Generation Partnership Project,1,-1,26646,-1,-1,1,1,0,0,1,0
