IPRD_ID,IPRD_REFERENCE,IPRD_SIGNATURE_DATE,Reflected_Date,COMP_LEGAL_NAME,DECL_IS_PROP_FLAG,LICD_DEC_PREP_TO_GRANT_FLAG,LICD_REC_CONDI_FLAG,DIPG_ID,DIPG_DISPLAY_NUMBER,DIPG_EXTERNAL_ID,Standard,Ess_To_Standard,WI_Type,WOIT_ETSI_DELIVERABLE_NUMBER,WOIT_REFERENCE,WOIT_VERSION,3GPP_Type,TGPP_NUMBER,TGPV_VERSION,Patent_Type,PATT_APPLICATION_NUMBER,PUBL_NUMBER,PBPA_TITLEEN,PBPA_PRIORITY_NUMBERS,Country_Of_Registration,PBPA_APP_DATE,ETPR_ID,ETPR_ACRONYM,Ess_To_Project,Illustrative_Part,DIPG_PATF_ID,Original_Application_Number,Original_Publication_Number,Explicitely_Disclosed,Normalized_Patent,2G,3G,4G,5G
2076,ISLD-201502-001,2015-02-13,2015-02-16,NTT DOCOMO INC,1,1,1,39648,12,-1,3GPP TS 36.423 version 12.2.0,1,-1,-1,-1,-1,TS,36.423,12.2.0,Basis Patent,JP20120127183,JP2013251859 A | JP5781016 B2,"WIRELESS BASE STATION, USER TERMINAL, WIRELESS COMMUNICATION SYSTEM AND INTERFERENCE ESTIMATION METHOD",|JP20120127183|,JP JAPAN,2012-06-04,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 8.3.1.2,9.2.67",18169,-1,-1,1,1,0,0,1,0
2076,ISLD-201502-001,2015-02-13,2015-02-16,NTT DOCOMO INC,1,1,1,39648,12,-1,3GPP TS 36.423 version 12.2.0,1,-1,-1,-1,-1,TS,36.423,12.2.0,Family Member,CN2017170897,CN107094059 A,"Wireless base station, wireless communication system and wireless communication method",|CN2013827094|JP20120127183|,CN CHINA,2013-05-28,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 8.3.1.2,9.2.67",18169,-1,-1,0,1,0,0,1,0
2076,ISLD-201502-001,2015-02-13,2015-02-16,NTT DOCOMO INC,1,1,1,39648,12,-1,3GPP TS 36.423 version 12.2.0,1,-1,-1,-1,-1,TS,36.423,12.2.0,Family Member,EP20130801430,EP2858406 A1 | EP2858406 A4 | EP2858406 B1,"WIRELESS BASE STATION, USER TERMINAL, WIRELESS COMMUNICATION SYSTEM AND INTERFERENCE ESTIMATION METHOD",|JP20120127183|WO2013JP64758|,EP European Patent Office,2013-05-28,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 8.3.1.2,9.2.67",18169,-1,-1,0,1,0,0,1,0
2076,ISLD-201502-001,2015-02-13,2015-02-16,NTT DOCOMO INC,1,1,1,39648,12,-1,3GPP TS 36.423 version 12.2.0,1,-1,-1,-1,-1,TS,36.423,12.2.0,Family Member,WO2013JP64758,WO2013183491 A1,"WIRELESS BASE STATION, USER TERMINAL, WIRELESS COMMUNICATION SYSTEM AND INTERFERENCE ESTIMATION METHOD",|JP20120127183|,WO Patent Cooperation Treaty,2013-05-28,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 8.3.1.2,9.2.67",18169,-1,-1,1,1,0,0,1,0
2076,ISLD-201502-001,2015-02-13,2015-02-16,NTT DOCOMO INC,1,1,1,39659,22,-1,3GPP TS 24.008 version 12.1.0,1,-1,-1,-1,-1,TS,24.008,12.1.0,Family Member,BR20151105053,BR112015005053 A2,-1,|JP20120197019|WO2013JP73822|,BR BRAZIL,2013-09-04,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 3.1, 5.2.4.2, 5.2.4.3",18180,-1,-1,0,1,1,1,1,1
2076,ISLD-201502-001,2015-02-13,2015-02-16,NTT DOCOMO INC,1,1,1,39659,22,-1,3GPP TS 24.008 version 12.1.0,1,-1,-1,-1,-1,TS,24.008,12.1.0,Family Member,EP20130834945,EP2894936 A1 | EP2894936 A4 | EP2894936 B1,USER EQUIPMENT AND MOBILE COMMUNICATION METHOD,|JP20120197019|WO2013JP73822|,EP European Patent Office,2013-09-04,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 3.1, 5.2.4.2, 5.2.4.3",18180,-1,-1,0,1,1,1,1,1
2076,ISLD-201502-001,2015-02-13,2015-02-16,NTT DOCOMO INC,1,1,1,39659,22,-1,3GPP TS 24.237 version 12.0.0,1,-1,-1,-1,-1,TS,24.237,12.0.0,Family Member,US201314426564,US2015223130 A1 | US9497679 B2,MOBILE STATION AND MOBILE COMMUNICATION METHOD,|JP20120197019|WO2013JP73822|,US UNITED STATES,2013-09-04,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 12.2.3B.1, 12.2.3B.3.3",18180,-1,-1,0,1,0,1,1,1
2076,ISLD-201502-001,2015-02-13,2015-02-16,NTT DOCOMO INC,1,1,1,39648,12,-1,3GPP TS 36.423 version 12.2.0,1,-1,-1,-1,-1,TS,36.423,12.2.0,Family Member,US201314404647,US2015195715 A1,"RADIO BASE STATION, USER TERMINAL, RADIO COMMUNICATION SYSTEM AND INTERFERENCE ESTIMATION METHOD",|JP20120127183|WO2013JP64758|,US UNITED STATES,2013-05-28,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 8.3.1.2,9.2.67",18169,-1,-1,0,1,0,0,1,0
2076,ISLD-201502-001,2015-02-13,2015-02-16,NTT DOCOMO INC,1,1,1,39659,22,-1,3GPP TS 24.008 version 12.1.0,1,-1,-1,-1,-1,TS,24.008,12.1.0,Basis Patent,JP20120197019,JP2014053774 A | JP5433062 B1,MOBILE STATION AND MOBILE COMMUNICATION METHOD,|JP20120197019|,JP JAPAN,2012-09-07,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 3.1, 5.2.4.2, 5.2.4.3",18180,-1,-1,1,1,1,1,1,1
2076,ISLD-201502-001,2015-02-13,2015-02-16,NTT DOCOMO INC,1,1,1,39659,22,-1,3GPP TS 24.008 version 12.1.0,1,-1,-1,-1,-1,TS,24.008,12.1.0,Family Member,US201314426564,US2015223130 A1 | US9497679 B2,MOBILE STATION AND MOBILE COMMUNICATION METHOD,|JP20120197019|WO2013JP73822|,US UNITED STATES,2013-09-04,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 3.1, 5.2.4.2, 5.2.4.3",18180,-1,-1,0,1,1,1,1,1
2076,ISLD-201502-001,2015-02-13,2015-02-16,NTT DOCOMO INC,1,1,1,39659,22,-1,3GPP TS 24.237 version 12.0.0,1,-1,-1,-1,-1,TS,24.237,12.0.0,Family Member,CN2013846587,CN104604326 A | CN104604326 B,User equipment and mobile communication method,|JP20120197019|WO2013JP73822|,CN CHINA,2013-09-04,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 12.2.3B.1, 12.2.3B.3.3",18180,-1,-1,0,1,0,1,1,1
2076,ISLD-201502-001,2015-02-13,2015-02-16,NTT DOCOMO INC,1,1,1,39648,12,-1,3GPP TS 36.423 version 12.2.0,1,-1,-1,-1,-1,TS,36.423,12.2.0,Family Member,KR20147032406,KR101587424 B1 | KR20150027056 A,"WIRELESS BASE STATION, USER TERMINAL, WIRELESS COMMUNICATION SYSTEM AND INTERFERENCE ESTIMATION METHOD",|JP20120127183|WO2013JP64758|,KR KOREA (REPUBLIC OF),2013-05-28,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 8.3.1.2,9.2.67",18169,-1,-1,0,1,0,0,1,0
2076,ISLD-201502-001,2015-02-13,2015-02-16,NTT DOCOMO INC,1,1,1,39649,13,-1,3GPP TS 36.423 version 12.2.0,1,-1,-1,-1,-1,TS,36.423,12.2.0,Basis Patent,JP20120127182,JP2013251858 A,"WIRELESS COMMUNICATION METHOD, WIRELESS COMMUNICATION SYSTEM, WIRELESS BASE STATION AND USER TERMINAL",|JP20120127182|,JP JAPAN,2012-06-04,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 8.3.1.2,9.2.67",18170,-1,-1,1,1,0,0,1,0
2076,ISLD-201502-001,2015-02-13,2015-02-16,NTT DOCOMO INC,1,1,1,39649,13,-1,3GPP TS 36.423 version 12.2.0,1,-1,-1,-1,-1,TS,36.423,12.2.0,Family Member,CN2013828360,CN104365141 A,"Wireless communication method, wireless communication system, wireless base station and user terminal",|JP20120127182|WO2013JP65055|,CN CHINA,2013-05-30,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 8.3.1.2,9.2.67",18170,-1,-1,0,1,0,0,1,0
2076,ISLD-201502-001,2015-02-13,2015-02-16,NTT DOCOMO INC,1,1,1,39649,13,-1,3GPP TS 36.423 version 12.2.0,1,-1,-1,-1,-1,TS,36.423,12.2.0,Family Member,EP20130800782,EP2858410 A1 | EP2858410 A4,"WIRELESS COMMUNICATION METHOD, WIRELESS COMMUNICATION SYSTEM, WIRELESS BASE STATION AND USER TERMINAL",|JP20120127182|WO2013JP65055|,EP European Patent Office,2013-05-30,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 8.3.1.2,9.2.67",18170,-1,-1,0,1,0,0,1,0
2076,ISLD-201502-001,2015-02-13,2015-02-16,NTT DOCOMO INC,1,1,1,39649,13,-1,3GPP TS 36.423 version 12.2.0,1,-1,-1,-1,-1,TS,36.423,12.2.0,Family Member,US201314405256,US2015110039 A1,"RADIO COMMUNICATION METHOD, RADIO COMMUNICATION SYSTEM, RADIO BASE STATION AND USER TERMINAL",|JP20120127182|WO2013JP65055|,US UNITED STATES,2013-05-30,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 8.3.1.2,9.2.67",18170,-1,-1,0,1,0,0,1,0
2076,ISLD-201502-001,2015-02-13,2015-02-16,NTT DOCOMO INC,1,1,1,39649,13,-1,3GPP TS 36.423 version 12.2.0,1,-1,-1,-1,-1,TS,36.423,12.2.0,Family Member,WO2013JP65055,WO2013183541 A1,"WIRELESS COMMUNICATION METHOD, WIRELESS COMMUNICATION SYSTEM, WIRELESS BASE STATION AND USER TERMINAL",|JP20120127182|,WO Patent Cooperation Treaty,2013-05-30,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 8.3.1.2,9.2.67",18170,-1,-1,1,1,0,0,1,0
2076,ISLD-201502-001,2015-02-13,2015-02-16,NTT DOCOMO INC,1,1,1,39659,22,-1,3GPP TS 24.237 version 12.0.0,1,-1,-1,-1,-1,TS,24.237,12.0.0,Family Member,BR20151105053,BR112015005053 A2,-1,|JP20120197019|WO2013JP73822|,BR BRAZIL,2013-09-04,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 12.2.3B.1, 12.2.3B.3.3",18180,-1,-1,0,1,0,1,1,1
