label,count
InterDigital Technology Corp.,500108
Qualcomm Incorporated,313619
Nokia Corporation,72456
Motorola Mobility Inc.,55050
Intel Corporation,51178
MOTOROLA Inc,44510
"Samsung Electronics Co, LTD",25691
Apple Inc.,23106
Siemens AG,14107
NEC Corporation,12120
"Huawei Technologies Co., Ltd.",11531
Coding Technologies AB,11385
Telefonaktiebolaget LM Ericsson,10630
LG Electronics Inc.,9010
Nokia Technologies Oy,8389
Sun Patent Trust,7458
InterDigital Patent Holdings Inc.,7450
"InterDigital Holdings, Inc.",7044
Tantivy Communications Inc.,7013
Koninklijke Philips Electronics N.V.,6804
Research in Motion Limited,6200
ZTE Corporation,5891
"Guangdong OPPO Mobile Telecommunications Corp., Ltd",5839
Nokia Solutions and Networks GmbH & Co. KG,4917
"NTT DOCOMO, INC.",4805
"NTT, Inc.",4368
InterDigital Technology Corporation,4316
IPR Licensing Inc.,4119
Fraunhofer Institut für Integrierte Schaltungen IIS,3999
"VirnetX, Inc.",3885
Core Wireless Licensing S.a.r.l,3652
Airbiquity Incorporated,3228
BlackBerry UK Limited,2979
"InterDigital Patent Holdings, Inc.",2707
Apple (UK) Limited,2646
Koninklijke KPN N.V.,2498
Godo Kaisha IP Bridge 1,2482
VoiceAge Corporation,2480
Nokia Networks Oy,2450
Fujitsu Limited.,2300
Orange,2226
Alcatel,2203
Panasonic Holdings Corporation,2180
Deutsche Telekom AG,2179
Mitsubishi Electric Corp,1667
Sony Group Corporation,1633
Sharp Corporation,1492
Nokia Solutions and Networks Oy,1414
"Optis Wireless Technology, LLC",1408
HTC Corporation,1340
Innovative Sonic Ltd.,1220
Kyocera Corporation,1156
"Convida Wireless, LLC",1112
Alcatel Lucent,1089
SHARP Corporation,1074
Nortel Networks Ltd,1049
3G Licensing SA,961
Sony Corporation,945
Electronics and Telecommunications Research Institute,941
MediaTek Incorporated,893
Evolium S.A.S,830
ALCATEL-LUCENT,788
QUALCOMM Inc,775
Google Ireland Limited,605
"Mitsubishi Electric Telecom Europe, S.A",574
Motorola Mobility LLC,556
Koninklijke Philips N.V.,554
General Dynamics UK Limited,516
Huawei Technologies Co. Ltd.,466
China Mobile Communications Corporation,439
Microsoft Corp.,376
"Optis Cellular Technology, LLC",371
Texas Instruments Inc.,368
Hughes Network Systems Inc,348
"Beijing Xiaomi Mobile Software Co., Ltd",345
Infineon Technologies,336
Sisvel International SA,323
ASUSTeK Computer Inc.,304
Siemens Aktiengesellschaft,296
Conversant Wireless Licensing SARL,273
China Academy of Telecommunications Technology (CATT),261
"Huawei Technologies Co., Ltd",255
Zhigu Holdings Limited,236
Vodafone Group Plc,228
"Honor Device Co., Ltd.",228
FG Innovation Company Limited,219
Via Licensing Corporation,208
"Unwired Planet, LLC",206
Panasonic Corporation,202
Mitsubishi Electric Information Technology Centre Europe B.V.,197
Xiaomi Inc.,193
BENQ Corporation,173
WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC.,162
TDF SAS,144
Lenovo,139
Sierra Wireless Inc,138
,138
Vodafone Group Services Limited (VGSL),137
Acer Incorporated,125
Renesas Mobile Corporation,118
Lenovo (Beijing) Ltd,118
"Vringo Infrastructure, Inc",105
"SK Telecom Co., LTD.",104
Toshiba Corporation,102
BlackBerry LTD,101
THALES SA,100
HMD Global Oy,95
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung e.V.,92
Industrial Technology Research Institute,91
BLACKBERRY LTD.,90
"IPR Licensing, Inc.",88
Alcatel-Lucent Deutschland AG,86
Spectacular,85
CATT(Datang),84
Sisvel International S.A.,82
Xiaomi H.K. Limited,80
"Sun Microsystems, Inc.",78
TOYOTA MOTOR CORPORATION,76
NEC Corporation (ARIB),76
"Wi-Fi One, LLC",68
Telecom Italia S.p.A.,65
Innovative Sonic Corporation,65
"Rakuten Mobile, Inc",64
KDDI Corporation (TTC),62
"Innovative Technology Lab Co., Ltd",62
"Beijing Xiaomi Mobile Software Co., Ltd.",60
"Shanghai Langbo Communication Technology Co., Ltd.",52
Hewlett-Packard Enterprise,50
"Ofinno, LLC",45
DENSO CORPORATION,43
"Dilithium Networks, Inc.",39
"IDTP Holdings, Inc.",37
Unwired Planet International Ltd,36
Alcatel-Lucent USA Inc.,34
KT Corporation,33
BT Group Plc,32
IPCom GmbH & Co.KG,31
"VID SCALE, INC.",30
Vodafone IP Licensing Limited,29
