label,count
LG Electronics Inc.,415
Telefonaktiebolaget LM Ericsson,357
Qualcomm Incorporated,305
Nokia Technologies Oy,304
ZTE Corporation,301
"Samsung Electronics Co, LTD",168
"SHENZHEN TRANSSION HOLDINGS CO.,LTD.",145
"Huawei Technologies Co., Ltd.",141
Nokia Solutions and Networks Oy,126
Intel Corporation,110
"Guangdong OPPO Mobile Telecommunications Corp., Ltd",101
Nokia Corporation,100
Jio Platforms Limited,96
"NTT DOCOMO, INC.",91
Koninklijke KPN N.V.,78
NEC Corporation,61
Apple Inc.,57
Electronics and Telecommunications Research Institute,54
"Yulong Computer Telecommunication Scientific (Shenzhen) Co., Ltd.",52
Orange,49
Lenovo,47
Alcatel Lucent,47
CATT(Datang),45
BlackBerry UK Limited,42
Sharp Corporation,40
Siemens AG,38
FG Innovation Company Limited,36
"vivo Mobile Communication Co., Ltd",35
QUALCOMM Inc,32
"InterDigital Holdings, Inc.",32
Quectel Wireless Solutions Co. Ltd,29
Nokia Networks Oy,28
Sierra Wireless Inc,26
Lenovo (Beijing) Ltd,26
China Mobile Communications Corporation,26
WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC.,25
"Honor Device Co., Ltd.",25
ASUSTeK Computer Inc.,25
MediaTek Incorporated,24
Research in Motion Limited,23
SHARP Corporation,20
"Beijing Xiaomi Mobile Software Co., Ltd",20
"Beijing Xiaomi Mobile Software Co., Ltd.",19
Acer Incorporated,18
Nokia Solutions and Networks GmbH & Co. KG,17
Fujitsu Limited.,17
"Verizon Communications, Inc.",16
Google Ireland Limited,14
Electronics & Telecommunications Research Institute,12
Deutsche Telekom AG,12
Panasonic Holdings Corporation,11
Huawei Technologies Co. Ltd.,11
"Shanghai Langbo Communication Technology Co., Ltd.",10
KT Corporation,10
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung e.V.,10
"Spreadtrum Communications (Shanghai) Co., Ltd.",9
Sony Group Corporation,9
"Innovative Technology Lab Co., Ltd",9
Cisco Systems Inc.,9
"Rakuten Mobile, Inc",8
"Ofinno, LLC",8
Industrial Technology Research Institute,8
HTC Corporation,8
China Academy of Telecommunications Technology (CATT),8
Wistron Corporation,7
Sun Patent Trust,7
Sony Corporation,7
Nokia of America Corporation,7
Motorola Mobility Inc.,7
Mitsubishi Electric Corp,7
MOTOROLA Inc,7
InterDigital Technology Corp.,7
Ericsson Telefonaktiebolaget LM,7
"Convida Wireless, LLC",7
Spectacular,6
Purplevine Innovation Company Limited,6
Nortel Networks Ltd,6
"Nokia Shanghai Bell Co., Ltd",6
Mitsubishi Electric R&D Centre Europe,6
Kyocera Corporation,6
"InterDigital Patent Holdings, Inc.",6
InterDigital Patent Holdings Inc.,6
"Apogee Networks, LLC",6
ALCATEL-LUCENT,6
Xiaomi H.K. Limited,5
InterDigital Technology Corporation,5
DELL Inc,5
Zhigu Holdings Limited,4
Xiaomi Inc.,4
"Xiaomi Communications Co.,Ltd.",4
"SK Telecom Co., LTD.",4
SHENZEN TCL NEW TECHNOLOGY CO. LTD,4
PanOptis Patent Management LLC,4
JRD COMMUNICATION (SHENZHEN) LTD,4
Institute for Information Industry,4
Hyundai Motor Company,4
DENSO CORPORATION,4
VoiceAge Corporation,3
Ukpik Mobile Technologies LLC,3
Telit Communications S.p.A.,3
Telecom Italia S.p.A.,3
TOYOTA MOTOR CORPORATION,3
THALES,3
Renesas Mobile Corporation,3
KDDI Corporation (TTC),3
HMD Global Oy,3
BENQ Corporation,3
Vodafone Group Services Limited (VGSL),2
