label,count
Nokia Corporation,107
Qualcomm Incorporated,102
Nokia Technologies Oy,77
NEC Corporation,62
Siemens AG,57
"Samsung Electronics Co, LTD",57
"Huawei Technologies Co., Ltd.",57
LG Electronics Inc.,54
Telefonaktiebolaget LM Ericsson,53
"NTT DOCOMO, INC.",52
Orange,49
ZTE Corporation,38
Koninklijke KPN N.V.,36
Alcatel Lucent,36
"Guangdong OPPO Mobile Telecommunications Corp., Ltd",35
BlackBerry UK Limited,29
Nokia Networks Oy,27
ALCATEL-LUCENT,27
Research in Motion Limited,22
Nokia Solutions and Networks Oy,21
Intel Corporation,21
Apple Inc.,17
"InterDigital Holdings, Inc.",16
Nokia Solutions and Networks GmbH & Co. KG,15
Sharp Corporation,13
Nortel Networks Ltd,11
Fujitsu Limited.,11
Alcatel,11
FG Innovation Company Limited,10
China Mobile Communications Corporation,9
Sony Group Corporation,8
Sony Corporation,8
SHARP Corporation,8
InterDigital Technology Corp.,8
HTC Corporation,8
QUALCOMM Inc,7
Panasonic Holdings Corporation,7
Texas Instruments Inc.,6
Motorola Mobility Inc.,6
Mitsubishi Electric Corp,6
MOTOROLA Inc,6
"InterDigital Patent Holdings, Inc.",6
General Dynamics UK Limited,6
InterDigital Technology Corporation,5
InterDigital Patent Holdings Inc.,5
Google Ireland Limited,5
Evolium S.A.S,5
"Convida Wireless, LLC",5
Sun Patent Trust,4
"SK Telecom Co., LTD.",4
"Rakuten Mobile, Inc",4
Kyocera Corporation,4
Koninklijke Philips N.V.,4
"Honor Device Co., Ltd.",4
Deutsche Telekom AG,4
Core Wireless Licensing S.a.r.l,4
China Academy of Telecommunications Technology (CATT),4
Alcatel-Lucent USA Inc.,4
Zhigu Holdings Limited,3
VoiceAge Corporation,3
Tantivy Communications Inc.,3
Renesas Mobile Corporation,3
"Optis Wireless Technology, LLC",3
Lenovo (Beijing) Ltd,3
Innovative Sonic Ltd.,3
IPR Licensing Inc.,3
Huawei Technologies Co. Ltd.,3
Electronics and Telecommunications Research Institute,3
"Beijing Xiaomi Mobile Software Co., Ltd",3
"Unwired Planet, LLC",2
Spectacular,2
Siemens Aktiengesellschaft,2
"Optis Cellular Technology, LLC",2
NEC Corporation (ARIB),2
Motorola Mobility LLC,2
MediaTek Incorporated,2
Koninklijke Philips Electronics N.V.,2
KDDI Corporation (TTC),2
Innovative Sonic Corporation,2
Industrial Technology Research Institute,2
Hewlett-Packard Enterprise,2
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung e.V.,2
Conversant Wireless Licensing SARL,2
CATT(Datang),2
BlackBerry LTD,2
BT Group Plc,2
BENQ Corporation,2
"Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co., Ltd.",2
Airbiquity Incorporated,2
Acer Incorporated,2
ASUSTeK Computer Inc.,2
3G Licensing SA,2
Xiaomi H.K. Limited,1
"Wi-Fi One, LLC",1
"Vringo Infrastructure, Inc",1
Vodafone Group Services Limited (VGSL),1
"VirnetX, Inc.",1
Via Licensing Corporation,1
"VID SCALE, INC.",1
Unwired Planet International Ltd,1
Toshiba Corporation,1
Telit Communications S.p.A.,1
Telecom Italia S.p.A.,1
TOYOTA MOTOR CORPORATION,1
"Sun Microsystems, Inc.",1
Sisvel International SA,1
Sisvel International S.A.,1
Sierra Wireless Inc,1
"Pantech Co., Ltd",1
Panasonic Mobile Communications,1
Panasonic Corporation,1
"NTT, Inc.",1
NTT DOCOMO INC.,1
"Mitsubishi Electric Telecom Europe, S.A",1
Mitsubishi Electric R&D Centre Europe,1
Mitsubishi Electric Information Technology Centre Europe B.V.,1
Microsoft Corp.,1
Marvell Switzerland S.A.R.L,1
Lenovo,1
KDDI Corporation,1
JRD COMMUNICATION (SHENZHEN) LTD,1
"IoT Holdings, Inc.",1
Innovative Sonic Limited,1
Infineon Technologies,1
IPCom GmbH & Co.KG,1
Hughes Network Systems Inc,1
"Huawei Technologies Co., Ltd",1
Godo Kaisha IP Bridge 1,1
Gemplus SA,1
Fraunhofer Institut für Integrierte Schaltungen IIS,1
"Dilithium Networks, Inc.",1
DENSO CORPORATION,1
Coding Technologies AB,1
BROADCOM CORPORATION,1
Apple (UK) Limited,1
Alcatel-Lucent Deutschland AG,1
AePONA LTD,1
"AT&T Intellectual Property II, LLC",1
AT&T,1
,1
