label,count
Qualcomm Incorporated,26592
Sun Patent Trust,15546
InterDigital Technology Corp.,10980
Intel Corporation,10160
Apple Inc.,8446
LG Electronics Inc.,8241
Panasonic Holdings Corporation,5994
Nokia Corporation,4764
"NTT DOCOMO, INC.",4362
"Samsung Electronics Co, LTD",4024
Motorola Mobility Inc.,3461
"Huawei Technologies Co., Ltd.",3394
"InterDigital Holdings, Inc.",3351
NEC Corporation,3303
SHARP Corporation,3012
"Guangdong OPPO Mobile Telecommunications Corp., Ltd",3012
Sharp Corporation,2444
ZTE Corporation,2054
Kyocera Corporation,1962
Telefonaktiebolaget LM Ericsson,1887
Coding Technologies AB,1800
Nokia Technologies Oy,1322
WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC.,1122
InterDigital Technology Corporation,1052
Godo Kaisha IP Bridge 1,1002
"NTT, Inc.",998
Fujitsu Limited.,919
"InterDigital Patent Holdings, Inc.",886
Motorola Mobility LLC,858
InterDigital Patent Holdings Inc.,807
"Optis Wireless Technology, LLC",790
Google Ireland Limited,729
Electronics and Telecommunications Research Institute,645
Sony Group Corporation,623
Nokia Networks Oy,608
Sony Corporation,551
Research in Motion Limited,504
MediaTek Incorporated,455
IPR Licensing Inc.,440
Nokia Solutions and Networks GmbH & Co. KG,432
"VirnetX, Inc.",425
BlackBerry UK Limited,405
QUALCOMM Inc,371
Siemens AG,345
Mitsubishi Electric Corp,329
"Convida Wireless, LLC",324
Alcatel Lucent,298
Orange,296
Apple (UK) Limited,288
"Huawei Technologies Co., Ltd",269
Fraunhofer Institut für Integrierte Schaltungen IIS,268
Panasonic Corporation,250
KDDI Corporation (TTC),242
"Optis Cellular Technology, LLC",233
Koninklijke Philips N.V.,231
HTC Corporation,231
China Academy of Telecommunications Technology (CATT),212
Core Wireless Licensing S.a.r.l,211
Koninklijke KPN N.V.,176
FG Innovation Company Limited,173
ALCATEL-LUCENT,172
Nokia Solutions and Networks Oy,160
VoiceAge Corporation,159
Dolby International AB,150
NTT DOCOMO INC.,134
"Beijing Xiaomi Mobile Software Co., Ltd",128
3G Licensing SA,112
MOTOROLA Inc,109
Huawei Technologies Co. Ltd.,109
General Dynamics UK Limited,100
"SK Telecom Co., LTD.",97
Texas Instruments Inc.,91
Nortel Networks Ltd,86
Lenovo (Beijing) Ltd,85
China Mobile Communications Corporation,83
Dolby Laboratories Licensing Corporation,80
TOYOTA MOTOR CORPORATION,75
"Unwired Planet, LLC",73
"IPR Licensing, Inc.",69
Innovative Sonic Corporation,68
NEC Corporation (ARIB),66
CATT(Datang),65
Deutsche Telekom AG,57
Tantivy Communications Inc.,56
Nippon Telegraph and Telephone Corporation (NTT),56
Spectacular,55
Innovative Sonic Ltd.,53
HMD Global Oy,49
Mitsubishi Electric R&D Centre Europe,45
ASUSTeK Computer Inc.,44
KDDI Corporation,40
KT Corporation,39
Conversant Wireless Licensing SARL,38
"Pantech Co., Ltd",37
JRD COMMUNICATION (SHENZHEN) LTD,37
Toshiba Corporation,34
Unwired Planet International Ltd,33
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung e.V.,33
"Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co., Ltd.",31
Telit Communications S.p.A.,30
Acer Incorporated,30
Alcatel-Lucent Deutschland AG,28
"Wi-Fi One, LLC",26
Alcatel-Lucent USA Inc.,24
,24
Via Licensing Corporation,22
Marvell Switzerland S.A.R.L,21
Ukpik Mobile Technologies LLC,18
Industrial Technology Research Institute,18
BENQ Corporation,18
Koninklijke Philips Electronics N.V.,16
"Honor Device Co., Ltd.",16
THALES SA,15
Sisvel International SA,15
"vivo Mobile Communication Co., Ltd",14
THALES,14
Freescale Semiconductor Inc.,14
Zhigu Holdings Limited,13
"Vringo Infrastructure, Inc",11
"Rakuten Mobile, Inc",11
Siemens Aktiengesellschaft,10
BlackBerry LTD,10
Lenovo,9
Hyundai Motor Company,9
TruePosition Inc.,8
Telecom Italia S.p.A.,8
"Sun Microsystems, Inc.",8
Microsoft Corp.,8
DENSO CORPORATION,8
Nokia of America Corporation,6
"Alcatel-Lucent Shanghai Bell Co., Ltd",6
"AT&T Intellectual Property II, LLC",5
Vodafone Group Services Limited (VGSL),4
Sierra Wireless Inc,4
SHENZEN TCL NEW TECHNOLOGY CO. LTD,4
Infineon Technologies,4
"IDPA Holdings, Inc.",4
Hewlett-Packard Enterprise,4
"Beijing Xiaomi Mobile Software Co., Ltd.",4
Xiaomi H.K. Limited,3
Sisvel International S.A.,3
Innovative Sonic Limited,3
u-blox AG,2
"VID SCALE, INC.",2
"Ofinno, LLC",2
"IoT Holdings, Inc.",2
IPCom GmbH & Co.KG,2
Bräu Verwaltungsgesellschaft mit beschränkter Haftung,2
BT Group Plc,2
BROADCOM CORPORATION,2
AT&T,2
Satelio IoT Services,1
Renesas Mobile Corporation,1
PicoChip Limited,1
Gemplus SA,1
"Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute",1
Alcatel Lucent Worldwide except Alcatel Lucent and Alcatel Lucent Shanghai Bell Co. Ltd in China,1
Alcatel,1
