label,count
TS_37.340,134
TS_25.331,68
TS_24.301,55
TS_24.008,44
TS_36.216,38
TS_24.229,36
TS_25.211,35
TS_23.228,34
TS_25.214,31
TS_25.212,30
TS_23.402,29
TS_33.401,28
TS_23.060,27
TS_37.320,22
TS_23.303,22
TS_23.682,21
TS_26.445,20
TS_25.321,20
TS_23.203,18
TS_23.246,17
TS_23.271,16
TS_26.346,15
TS_26.247,15
TS_23.122,14
TS_23.140,12
TS_23.003,12
TS_26.114,10
TS_23.272,10
TS_23.285,9
TS_23.216,9
TS_31.102,8
TS_26.234,8
TS_26.190,8
TS_26.090,8
TS_25.433,8
TS_25.213,8
TS_25.101,8
TS_23.002,8
TS_22.368,8
TS_29.212,7
TS_29.122,7
TS_25.322,7
TS_25.308,7
TS_33.402,6
TS_33.102,6
TS_32.422,6
TS_29.281,6
TS_29.274,6
TS_29.272,6
TS_29.228,6
TS_29.060,6
TS_26.290,6
TS_25.221,6
TS_24.334,6
TS_23.237,6
TS_33.303,5
TS_26.447,5
TS_26.193,5
TS_26.140,5
TS_25.413,5
TS_25.223,5
TS_24.302,5
TS_23.214,5
TS_23.206,5
TS_23.167,5
TS_23.107,5
TS_22.220,5
TS_33.328,4
TS_31.130,4
TS_29.163,4
TS_26.442,4
TS_26.237,4
TS_26.173,4
TS_26.141,4
TS_25.224,4
TS_25.133,4
TS_24.312,4
TS_24.234,4
TS_23.292,4
TS_23.261,4
TS_23.234,4
TS_23.041,4
TS_23.040,4
TS_22.101,4
TS_36.425,3
TS_33.320,3
TS_33.234,3
TS_33.220,3
TS_33.203,3
TS_32.299,3
TS_32.296,3
TS_29.273,3
TS_29.214,3
TS_29.118,3
TS_29.061,3
TS_26.441,3
TS_25.423,3
TS_25.346,3
TS_25.319,3
TS_25.309,3
TS_25.304,3
TS_24.292,3
TS_23.279,3
TS_23.251,3
TS_23.221,3
TS_23.009,3
TS_37.571-1,2
TS_34.108,2
TS_32.522,2
TS_32.423,2
TS_32.392,2
TS_32.322,2
TS_32.240,2
TS_31.131,2
TS_31.111,2
TS_29.414,2
TS_29.336,2
TS_29.007,2
TS_29.002,2
TS_28.628,2
TS_28.627,2
TS_28.622,2
TS_26.443,2
TS_26.267,2
TS_26.244,2
TS_26.111,2
TS_26.073,2
TS_25.446,2
TS_25.435,2
TS_25.427,2
TS_25.410,2
TS_25.367,2
TS_25.301,2
TS_25.222,2
TS_25.215,2
TS_24.341,2
TS_24.305,2
TS_24.303,2
TS_24.285,2
TS_24.259,2
TS_24.147,2
TS_23.204,2
TS_23.161,2
TS_23.153,2
TS_23.139,2
TS_23.018,2
TS_23.007,2
TS_22.243,2
TS_22.228,2
TS_22.060,2
TS_22.003,2
TS_35.215,1
TS_34.109,1
TS_33.246,1
TS_33.223,1
TS_33.187,1
TS_33.107,1
TS_32.762,1
TS_32.551,1
TS_32.421,1
TS_32.321,1
TS_32.281,1
TS_32.277,1
TS_32.274,1
TS_32.260,1
TS_32.111-4,1
TS_32.005,1
TS_31.121,1
TS_29.335,1
TS_29.334,1
TS_29.311,1
TS_29.303,1
TS_29.275,1
TS_29.215,1
TS_29.213,1
TS_29.207,1
TS_29.199,1
TS_28.062,1
TS_27.007,1
TS_27.001,1
TS_26.304,1
TS_26.273,1
TS_26.264,1
TS_26.245,1
TS_26.243,1
TS_26.238,1
TS_26.235,1
TS_26.233,1
TS_26.191,1
TS_26.177,1
TS_26.150,1
TS_26.102,1
TS_26.094,1
TS_26.092,1
TS_26.091,1
TS_25.818,1
TS_25.813,1
TS_25.434,1
TS_25.426,1
TS_25.402,1
TS_25.401,1
TS_25.323,1
TS_25.306,1
TS_25.302,1
TS_25.201,1
TS_24.410,1
TS_24.371,1
TS_24.333,1
TS_24.304,1
TS_24.279,1
TS_24.237,1
TS_24.182,1
TS_24.173,1
TS_24.167,1
TS_24.161,1
TS_24.141,1
TS_24.103,1
TS_24.022,1
TS_24.011,1
TS_23.380,1
TS_23.334,1
TS_23.327,1
TS_23.240,1
TS_23.236,1
TS_23.218,1
TS_23.207,1
TS_23.172,1
TS_23.121,1
TS_23.079,1
TS_23.048,1
TS_23.034,1
TS_23.008,1
TS_22.246,1
TS_22.146,1
TS_22.140,1
TS_22.127,1
TS_22.071,1
TS_22.034,1
TS_22.011,1
TS_21.111,1
TS_21.102,1
TS_21.101,1
TR_32.836,1
TR_26.946,1
TR_26.911,1
TR_26.848,1
TR_26.827,1
TR_25.990,1
TR_25.967,1
TR_25.931,1
TR_25.922,1
TR_25.905,1
TR_25.814,1
TR_24.880,1
TR_23.887,1
TR_23.852,1
TR_23.703,1
TR_22.805,1
