label,count
TS_36.213,21389
TS_36.211,17656
TS_36.300,15411
TS_36.331,14066
TS_36.212,8799
TS_36.321,8292
TS_24.008,4985
TS_22.071,4539
TS_23.171,4060
TS_23.002,2846
TS_23.401,2296
TR_21.905,1764
TS_37.213,1644
TS_36.304,1508
TS_36.101,1311
TS_36.423,1174
TS_26.194,1054
TS_26.094,1040
TS_24.301,1022
TS_37.340,930
TS_26.092,928
TS_26.445,815
TS_36.133,814
TS_26.190,813
TS_36.322,807
TS_36.214,727
TS_23.271,700
TS_23.402,655
TS_36.323,641
TS_26.234,620
TS_23.682,614
TS_36.201,589
TS_36.413,586
TS_26.191,580
TS_23.228,570
TS_22.105,563
TS_26.290,555
TS_36.216,545
TS_26.258,521
TS_26.253,521
TS_36.355,513
TS_26.346,492
TS_26.410,480
TS_24.410,480
TS_26.244,477
TS_24.229,476
TS_26.247,447
TS_24.303,438
TS_26.091,420
TS_26.251,406
TS_24.302,399
TS_24.312,380
TS_37.320,378
TS_26.401,375
TS_26.411,360
TS_26.114,357
TS_23.303,352
TS_36.306,346
TS_23.203,334
TS_33.401,321
TS_36.104,295
TS_23.272,278
TS_26.090,270
TS_23.122,253
TS_26.250,243
TS_23.246,241
TS_37.355,238
TS_32.522,207
TS_23.234,207
TS_26.173,201
TS_26.192,197
TS_33.102,196
TS_26.237,196
TS_23.107,196
TS_26.140,191
TS_28.627,176
TS_26.193,173
TS_23.237,172
TS_23.003,171
TS_29.368,166
TS_22.101,165
TS_26.447,156
TS_33.220,154
TS_26.281,146
TS_36.302,145
TS_26.171,141
TS_26.177,140
TS_23.261,140
TS_26.202,139
TS_26.201,139
TS_26.174,139
TS_24.334,139
TS_31.102,131
TS_26.256,130
TS_29.061,123
TS_26.255,122
TS_26.254,122
TS_26.252,122
TS_26.404,120
TS_36.305,114
TS_26.116,114
TS_24.234,112
TS_33.246,110
TS_22.368,105
TS_33.303,104
TS_29.274,104
TS_36.440,100
TS_33.203,100
TS_26.441,100
TS_23.218,97
TR_23.887,95
TS_33.320,94
TS_37.324,93
TS_33.402,93
TS_26.442,93
TS_36.314,89
TS_29.002,83
TR_26.938,81
TS_36.401,80
TS_31.101,79
TS_24.228,79
TS_29.228,78
TS_23.285,77
TS_21.111,74
TS_29.272,72
TS_33.234,71
TS_29.281,71
TR_26.827,71
TS_23.204,70
