label,count
TS_37.340,379
TS_24.301,110
TS_23.122,83
TS_37.320,77
TS_23.228,76
TS_25.331,68
TS_23.303,61
TS_24.008,59
TS_23.402,55
TS_24.229,52
TS_33.401,46
TS_23.682,46
TS_25.212,44
TS_25.211,43
TS_23.203,43
TS_36.216,40
TS_23.060,39
TS_25.214,37
TS_26.114,30
TS_26.445,26
TS_23.003,26
TS_23.246,25
TS_32.422,24
TS_25.321,24
TS_23.216,22
TS_29.122,21
TS_26.247,21
TS_23.285,20
TS_23.271,19
TS_29.212,18
TS_27.007,18
TS_23.272,17
TS_36.211,16
TS_26.346,16
TS_23.002,14
TS_36.213,13
TS_29.281,13
TS_29.274,13
TS_23.292,13
TS_23.167,13
TS_29.272,12
TS_23.107,12
TS_22.011,12
TS_33.102,11
TS_24.334,11
TS_23.140,11
TS_22.368,11
TS_33.220,10
TS_31.102,10
TS_28.622,10
TS_26.090,10
TS_23.221,10
TS_25.304,9
TS_24.302,9
TS_32.240,8
TS_29.061,8
TS_26.447,8
TS_26.234,8
TS_26.190,8
TS_25.213,8
TS_25.101,8
TS_33.402,7
TS_29.163,7
TS_29.002,7
TS_28.405,7
TS_25.221,7
TS_23.237,7
TS_23.214,7
TS_23.040,7
TS_22.101,7
TR_26.911,7
TS_37.213,6
TS_33.320,6
TS_33.303,6
TS_29.228,6
TS_26.264,6
TS_26.237,6
TS_25.433,6
TS_25.322,6
TS_25.309,6
TS_24.234,6
TS_23.380,6
TS_36.425,5
TS_36.331,5
TS_33.246,5
TS_33.107,5
TS_32.421,5
TS_32.277,5
TS_29.273,5
TS_29.214,5
TS_29.213,5
TS_26.442,5
TS_26.192,5
TS_26.140,5
TS_25.446,5
TS_25.133,5
TS_24.279,5
TS_24.147,5
TS_23.261,5
TS_23.234,5
TS_23.206,5
TS_23.139,5
TS_23.041,5
TS_36.321,4
TS_36.300,4
TS_32.296,4
TS_29.060,4
TS_25.410,4
TS_25.401,4
TS_25.308,4
TS_25.301,4
TS_25.201,4
TS_24.237,4
TS_24.183,4
TS_23.207,4
TS_23.205,4
TS_23.204,4
