label,count
TS_36.213,205120
TS_36.211,173797
TS_36.331,153468
TS_36.300,151672
TS_36.212,90353
TS_36.321,89176
TS_24.008,42261
TS_22.071,33244
TS_23.171,31223
TS_23.401,25448
TS_23.002,19680
TS_37.213,19389
TS_36.304,17925
TR_21.905,12368
TS_36.101,12233
TS_24.301,11443
TS_36.423,11331
TS_26.194,10720
TS_36.214,10269
TS_26.445,10261
TS_37.340,10036
TS_26.094,9275
TS_36.133,9079
TS_36.322,8766
TS_23.402,8468
TS_26.190,8171
TS_26.234,7103
TS_36.413,7051
TS_36.201,6769
TS_26.191,6732
TS_23.228,6717
TS_36.323,6709
TS_26.092,6352
TS_23.682,6220
TS_24.229,6145
TS_26.290,6141
TS_26.253,5734
TS_26.258,5719
TS_36.355,5353
TS_26.346,5329
TS_24.312,5229
TS_36.216,5209
TS_26.244,5196
TS_23.203,5086
TS_26.247,4766
TS_24.302,4701
TS_23.303,4548
TS_26.090,4413
TS_26.251,4348
TS_26.091,4273
TS_37.355,4249
TS_26.114,4218
TS_36.306,3760
TS_23.271,3760
TS_33.401,3689
TS_23.122,3254
TS_26.410,3042
TS_24.410,3036
TS_26.192,2901
TS_26.173,2803
TS_24.303,2793
TS_22.105,2790
TS_26.237,2703
TS_26.193,2678
TS_36.104,2660
TS_26.250,2631
TS_26.401,2498
TS_23.272,2441
TS_26.171,2368
TS_38.331,2325
TS_26.202,2309
TS_26.201,2309
TS_26.174,2309
TS_26.411,2283
TS_37.320,2260
TS_23.003,1968
TS_23.246,1956
TS_38.213,1951
TS_33.102,1933
TS_32.522,1870
TS_23.234,1826
TS_23.237,1758
TS_26.093,1742
TS_31.102,1739
TS_23.107,1693
TS_22.101,1650
TS_26.140,1636
TS_28.627,1634
TS_29.368,1589
TS_36.302,1496
TS_29.061,1454
TS_38.214,1444
TS_36.305,1381
TS_33.320,1339
TS_33.220,1339
TS_26.447,1331
TS_38.211,1326
TS_26.281,1313
TS_38.212,1274
TS_24.334,1274
TS_33.402,1239
TS_37.324,1230
TS_36.440,1220
TS_23.216,1163
TR_26.938,1138
TS_29.212,1109
TS_24.234,1106
TS_26.177,1086
TS_29.274,1064
TS_29.002,1059
TS_33.303,1009
TS_26.256,1008
TS_26.442,1001
TS_29.244,981
TS_22.368,980
TS_28.680,940
TS_26.116,936
