label,count
InterDigital Technology Corp,194909
Qualcomm Incorporated,42425
Motorola Mobility Inc,18909
MOTOROLA Inc,9272
Nokia Corporation,7344
Samsung Electronics Co LTD,6190
Fraunhofer Institut für Integrierte Schaltungen IIS,3849
Intel Corporation,3501
Telefonaktiebolaget LM Ericsson,3342
LG Electronics Inc,3151
Huawei Technologies Co Ltd,3132
Koninklijke Philips Electronics NV,3100
Apple Inc,2776
Siemens AG,2504
Guangdong OPPO Mobile Telecommunications Corp Ltd,2413
InterDigital Holdings Inc,1992
InterDigital Patent Holdings Inc,1880
Nokia Technologies Oy,1733
Tantivy Communications Inc,1654
NEC Corporation,1490
InterDigital Technology Corporation,1455
IPR Licensing Inc,1449
Research in Motion Limited,1441
NTT DOCOMO INC,1351
Sun Patent Trust,1308
Alcatel,1058
Optis Wireless Technology LLC,707
Electronics and Telecommunications Research Institute,698
Sharp Corporation,697
ZTE Corporation,627
Core Wireless Licensing Sarl,598
BlackBerry UK Limited,591
Nokia Solutions and Networks GmbH & Co KG,546
HTC Corporation,514
Deutsche Telekom AG,456
Fujitsu Limited,433
Sony Group Corporation,425
MediaTek Incorporated,424
Kyocera Corporation,393
Panasonic Holdings Corporation,390
Google Ireland Limited,384
VoiceAge Corporation,365
Koninklijke Philips NV,356
Godo Kaisha IP Bridge 1,342
Orange,330
ALCATEL-LUCENT,312
Nokia Solutions and Networks Oy,295
Sony Corporation,283
SHARP Corporation,278
Nokia Networks Oy,273
China Mobile Communications Corporation,261
QUALCOMM Inc,258
VirnetX Inc,251
Alcatel Lucent,250
Panasonic Corporation,196
Texas Instruments Inc,189
Nortel Networks Ltd,176
FG Innovation Company Limited,174
Hughes Network Systems Inc,166
Sisvel International SA,152
Beijing Xiaomi Mobile Software Co Ltd,127
Motorola Mobility LLC,119
ASUSTeK Computer Inc,113
3G Licensing SA,85
Spectacular,78
Convida Wireless LLC,70
Mitsubishi Electric Corp,64
Renesas Mobile Corporation,62
General Dynamics UK Limited,62
Innovative Sonic Corporation,59
Acer Incorporated,56
Xiaomi HK Limited,52
Vodafone Group Plc,52
Infineon Technologies,51
Apple (UK) Limited,51
Optis Cellular Technology LLC,45
CATT(Datang),43
TOYOTA MOTOR CORPORATION,41
Innovative Sonic Ltd,41
HMD Global Oy,40
Evolium SAS,40
China Academy of Telecommunications Technology (CATT),39
Unwired Planet LLC,38
DENSO CORPORATION,37
Microsoft Corp,35
BlackBerry LTD,34
Siemens Aktiengesellschaft,32
Conversant Wireless Licensing SARL,32
Xiaomi Inc,27
Shanghai Langbo Communication Technology Co Ltd,27
Zhigu Holdings Limited,26
NEC Corporation (ARIB),26
Industrial Technology Research Institute,26
Ofinno LLC,25
Pantech Co Ltd,23
Electronics & Telecommunications Research Institute,22
Vringo Infrastructure Inc,16
Lenovo,16
Hewlett-Packard Enterprise,16
BROADCOM CORPORATION,15
Sierra Wireless Inc,12
SHENZHEN TRANSSION HOLDINGS COLTD,12
Spreadtrum Communications (Shanghai) Co Ltd,11
Koninklijke KPN NV,11
Marvell Switzerland SARL,8
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung eV,8
Mitsubishi Electric R&D Centre Europe,7
Innovative Sonic Limited,7
vivo Mobile Communication Co Ltd,6
Wistron Corporation,6
Vodafone IP Licensing Limited,6
KDDI Corporation,5
-1,5
Nokia of America Corporation,4
KT Corporation,4
KDDI Corporation (TTC),4
VODAFONE LTD,2
Gemalto SA,2
Apogee Networks LLC,2
Panasonic Mobile Communications,1
Nokia Solutions (Shanghai) Co Ltd,1
AT&T Intellectual Property II LLC,1
