label,count
Guangdong OPPO Mobile Telecommunications Corp Ltd,273322
Qualcomm Incorporated,161133
Huawei Technologies Co Ltd,160520
WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC,114794
Sharp Corporation,103523
LG Electronics Inc,90114
Samsung Electronics Co LTD,78457
ZTE Corporation,69254
vivo Mobile Communication Co Ltd,43655
Apple Inc,31967
Nokia Corporation,31614
Nokia Technologies Oy,31588
Telefonaktiebolaget LM Ericsson,25724
InterDigital Technology Corp,24166
InterDigital Holdings Inc,21940
Beijing Xiaomi Mobile Software Co Ltd,20935
Intel Corporation,20815
NEC Corporation,19610
QUALCOMM Inc,19094
China Mobile Communications Corporation,17900
Electronics and Telecommunications Research Institute,13935
CATT(Datang),13388
NTT DOCOMO INC,11949
SHARP Corporation,11664
Electronics & Telecommunications Research Institute,11651
MediaTek Incorporated,9762
Shanghai Langbo Communication Technology Co Ltd,9611
FG Innovation Company Limited,9108
Sony Group Corporation,8202
Motorola Mobility Inc,7144
Coding Technologies AB,6578
Sun Patent Trust,6347
Ofinno LLC,5826
Fujitsu Limited,5728
Deutsche Telekom AG,5532
Google Ireland Limited,5334
Convida Wireless LLC,4914
Koninklijke Philips NV,4514
ASUSTeK Computer Inc,4419
Nokia Solutions and Networks Oy,3948
Fraunhofer Institut für Integrierte Schaltungen IIS,3933
Kyocera Corporation,3640
InterDigital Patent Holdings Inc,3113
BlackBerry UK Limited,3065
Acer Incorporated,3021
Orange,2871
Alcatel Lucent,2821
Panasonic Holdings Corporation,2806
Spectacular,2636
Spreadtrum Communications (Shanghai) Co Ltd,2449
Research in Motion Limited,2444
Lenovo,2443
China Academy of Telecommunications Technology (CATT),2347
Hyundai Motor Company,2196
InterDigital Technology Corporation,2124
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung eV,2110
Mitsubishi Electric R&D Centre Europe,1751
HTC Corporation,1724
KDDI Corporation (TTC),1700
Dolby International AB,1568
KT Corporation,1428
Siemens AG,1415
Industrial Technology Research Institute,1390
Apogee Networks LLC,1313
DENSO CORPORATION,1272
VirnetX Inc,1255
Apple (UK) Limited,1184
Dolby Laboratories Licensing Corporation,1168
VoiceAge Corporation,1116
Nokia Solutions and Networks GmbH & Co KG,1095
TOYOTA MOTOR CORPORATION,848
Sony Corporation,814
NEC Corporation (ARIB),792
Nokia Networks Oy,772
PanOptis Patent Management LLC,769
Godo Kaisha IP Bridge 1,744
SHENZHEN TRANSSION HOLDINGS COLTD,720
KDDI Corporation,717
Innovative Technology Lab Co Ltd,634
Koninklijke KPN NV,624
Innovative Sonic Corporation,450
Ukpik Mobile Technologies LLC,440
IPCom GmbH & CoKG,401
TCT Mobile Limited,400
SHENZEN TCL NEW TECHNOLOGY CO LTD,394
Core Wireless Licensing Sarl,374
Panasonic Corporation,367
3G Licensing SA,355
IPR Licensing Inc,333
Mitsubishi Electric Corp,331
Optis Wireless Technology LLC,323
Purplevine Innovation Company Limited,302
Nokia of America Corporation,287
Innovative Sonic Limited,285
Xiaomi HK Limited,247
Zhigu Holdings Limited,241
Wistron Corporation,206
MOTOROLA Inc,197
HMD Global Oy,191
Vodafone Group Plc,179
New H3C Technologies Co Ltd,174
Nokia Solutions (Shanghai) Co Ltd,140
Fraunhofer Institute for Telecommunications Heinrich Hertz Institute,127
IDAC Holdings Inc,126
Motorola Mobility LLC,109
Conversant Wireless Licensing SARL,96
ALCATEL-LUCENT,91
Xiaomi Communications CoLtd,87
Telit Communications SpA,86
JRD COMMUNICATION (SHENZHEN) LTD,85
Nortel Networks Ltd,84
Institute for Information Industry,76
CANON INC,66
BlackBerry LTD,66
Vringo Infrastructure Inc,64
Polaran,64
Telecom Italia SpA,60
Xiaomi Inc,56
THALES,55
BENQ Corporation,52
Hubei Xingji Meizu Group Co Ltd,51
Microsoft Corp,49
SK Telecom Co LTD,48
Toshiba Corporation,47
Siemens Aktiengesellschaft,47
Sisvel International SA,44
Sun Microsystems Inc,41
-1,41
Unwired Planet LLC,40
Koninklijke Philips Electronics NV,36
AUMOVIO Germany GmbH,29
Ruijie Network Co Ltd,28
National Instruments Corporation,28
Anirudh Singh And Company,25
THALES SA,24
Sierra Wireless Inc,22
IDTP Holdings Inc,22
Optis Cellular Technology LLC,20
ECARX (Hubei) Tech Co Ltd,18
LENOVO,17
Quectel Wireless Solutions Co Ltd,16
Vimatix,14
Alcatel-Lucent USA Inc,14
Alcatel-Lucent Deutschland AG,13
Unwired Planet International Ltd,12
Ericsson Telefonaktiebolaget LM,12
Lite-On Technology Corporation,11
Beijing Moqiu Technology Co Ltd,10
Teleste Oyj,9
Renesas Mobile Corporation,9
InterDigital CE Intermediate SAS,9
General Dynamics UK Limited,9
Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co Ltd,9
Hewlett-Packard Enterprise,8
TriSpace Technologies (OPC) Pvt Ltd,4
Comba Network Systems Company Limited,2
AT&T Intellectual Property II LLC,1
