label,count
Huawei Technologies Co Ltd,9771
Samsung Electronics Co LTD,7649
Guangdong OPPO Mobile Telecommunications Corp Ltd,7324
LG Electronics Inc,7298
ZTE Corporation,6860
Beijing Xiaomi Mobile Software Co Ltd,4706
Qualcomm Incorporated,4248
Nokia Technologies Oy,4127
vivo Mobile Communication Co Ltd,3468
Telefonaktiebolaget LM Ericsson,2940
CATT(Datang),2801
NTT DOCOMO INC,2742
China Mobile Communications Corporation,2694
Apple Inc,2336
Sharp Corporation,1999
InterDigital Holdings Inc,1253
MediaTek Incorporated,1016
NEC Corporation,906
Spreadtrum Communications (Shanghai) Co Ltd,813
Ofinno LLC,806
Electronics & Telecommunications Research Institute,742
Shanghai Langbo Communication Technology Co Ltd,661
Intel Corporation,621
FG Innovation Company Limited,481
ASUSTeK Computer Inc,480
WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC,418
Nokia Solutions and Networks Oy,405
Lenovo,403
SHARP Corporation,397
Sony Group Corporation,390
Fujitsu Limited,352
Electronics and Telecommunications Research Institute,348
China Academy of Telecommunications Technology (CATT),347
Kyocera Corporation,337
QUALCOMM Inc,335
Apogee Networks LLC,316
KT Corporation,243
Google Ireland Limited,237
Alcatel Lucent,214
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung eV,195
Deutsche Telekom AG,175
Panasonic Holdings Corporation,166
Hyundai Motor Company,163
Orange,150
HTC Corporation,146
Koninklijke Philips NV,138
DENSO CORPORATION,132
KDDI Corporation (TTC),128
SHENZHEN TRANSSION HOLDINGS COLTD,123
Industrial Technology Research Institute,109
InterDigital Patent Holdings Inc,93
Innovative Technology Lab Co Ltd,92
Spectacular,85
SHENZEN TCL NEW TECHNOLOGY CO LTD,80
Convida Wireless LLC,78
NEC Corporation (ARIB),64
Acer Incorporated,63
Sun Patent Trust,49
BlackBerry UK Limited,47
TCT Mobile Limited,42
Nokia Solutions (Shanghai) Co Ltd,42
Sony Corporation,37
TOYOTA MOTOR CORPORATION,31
KDDI Corporation,31
Mitsubishi Electric R&D Centre Europe,29
IDAC Holdings Inc,29
New H3C Technologies Co Ltd,28
Hubei Xingji Meizu Group Co Ltd,27
InterDigital Technology Corporation,26
IPCom GmbH & CoKG,25
Nokia of America Corporation,22
Ukpik Mobile Technologies LLC,20
Xiaomi Communications CoLtd,19
PanOptis Patent Management LLC,19
Innovative Sonic Corporation,18
Institute for Information Industry,16
Xiaomi HK Limited,15
Koninklijke KPN NV,15
Innovative Sonic Limited,15
Wistron Corporation,10
SK Telecom Co LTD,10
Ruijie Network Co Ltd,10
Godo Kaisha IP Bridge 1,10
Fraunhofer Institute for Telecommunications Heinrich Hertz Institute,10
AUMOVIO Germany GmbH,10
Purplevine Innovation Company Limited,9
Panasonic Corporation,9
JRD COMMUNICATION (SHENZHEN) LTD,9
HMD Global Oy,8
THALES,7
InterDigital Technology Corp,7
IPR Licensing Inc,7
Xiaomi Inc,6
Vodafone Group Plc,5
Telit Communications SpA,5
Mitsubishi Electric Corp,5
LENOVO,5
Polaran,4
National Instruments Corporation,4
ECARX (Hubei) Tech Co Ltd,4
CANON INC,4
Ericsson Telefonaktiebolaget LM,3
Beijing Moqiu Technology Co Ltd,3
Zhigu Holdings Limited,1
Telecom Italia SpA,1
Quectel Wireless Solutions Co Ltd,1
Lite-On Technology Corporation,1
IDTP Holdings Inc,1
Comba Network Systems Company Limited,1
Anirudh Singh And Company,1
