label,count
InterDigital Technology Corp,31617
Qualcomm Incorporated,10664
Motorola Mobility Inc,3244
Samsung Electronics Co LTD,1499
MOTOROLA Inc,1052
Nokia Corporation,991
Koninklijke Philips Electronics NV,631
Siemens AG,524
InterDigital Patent Holdings Inc,514
Intel Corporation,422
LG Electronics Inc,359
Tantivy Communications Inc,336
Alcatel,327
NEC Corporation,306
InterDigital Holdings Inc,299
Apple Inc,289
IPR Licensing Inc,278
NTT DOCOMO INC,270
Fraunhofer Institut für Integrierte Schaltungen IIS,264
InterDigital Technology Corporation,251
Guangdong OPPO Mobile Telecommunications Corp Ltd,243
Research in Motion Limited,231
Huawei Technologies Co Ltd,182
Telefonaktiebolaget LM Ericsson,174
Nokia Solutions and Networks GmbH & Co KG,155
Kyocera Corporation,143
Fujitsu Limited,126
HTC Corporation,112
Panasonic Holdings Corporation,98
Mitsubishi Electric Corp,87
Godo Kaisha IP Bridge 1,86
Sharp Corporation,78
Mitsubishi Electric Telecom Europe SA,69
Core Wireless Licensing Sarl,65
SHARP Corporation,63
ALCATEL-LUCENT,63
Nokia Technologies Oy,62
Optis Wireless Technology LLC,57
Texas Instruments Inc,52
Sony Corporation,50
BlackBerry UK Limited,49
Nortel Networks Ltd,45
Koninklijke Philips NV,39
Panasonic Corporation,37
QUALCOMM Inc,36
Alcatel Lucent,29
VoiceAge Corporation,28
Sony Group Corporation,28
Sun Patent Trust,27
Orange,26
Hughes Network Systems Inc,24
Sisvel International SA,22
ZTE Corporation,18
FG Innovation Company Limited,17
Motorola Mobility LLC,16
Nokia Networks Oy,13
Spectacular,11
3G Licensing SA,11
Convida Wireless LLC,10
Unwired Planet LLC,9
Nokia Solutions and Networks Oy,9
ASUSTeK Computer Inc,9
Innovative Sonic Ltd,8
General Dynamics UK Limited,8
Evolium SAS,8
DENSO CORPORATION,8
Conversant Wireless Licensing SARL,8
Innovative Sonic Corporation,7
Google Ireland Limited,7
Electronics and Telecommunications Research Institute,7
NEC Corporation (ARIB),6
Deutsche Telekom AG,6
Zhigu Holdings Limited,5
Beijing Xiaomi Mobile Software Co Ltd,5
AT&T Intellectual Property II LLC,5
Vringo Infrastructure Inc,4
Renesas Mobile Corporation,4
KDDI Corporation (TTC),4
Hewlett-Packard Enterprise,4
Xiaomi HK Limited,3
TOYOTA MOTOR CORPORATION,3
MediaTek Incorporated,3
BROADCOM CORPORATION,3
Optis Cellular Technology LLC,2
Mitsubishi Electric R&D Centre Europe,2
China Academy of Telecommunications Technology (CATT),2
BlackBerry LTD,2
Acer Incorporated,2
Sierra Wireless Inc,1
Siemens Aktiengesellschaft,1
Pantech Co Ltd,1
Panasonic Mobile Communications,1
Microsoft Corp,1
KDDI Corporation,1
Innovative Sonic Limited,1
Industrial Technology Research Institute,1
China Mobile Communications Corporation,1
CATT(Datang),1
Alcatel-Lucent USA Inc,1
