label,count
Qualcomm Incorporated,802
InterDigital Technology Corp,501
Nokia Corporation,452
NEC Corporation,352
Telefonaktiebolaget LM Ericsson,304
Samsung Electronics Co LTD,275
LG Electronics Inc,250
Huawei Technologies Co Ltd,248
NTT DOCOMO INC,224
Intel Corporation,175
Nokia Technologies Oy,157
Motorola Mobility Inc,135
InterDigital Patent Holdings Inc,115
Siemens AG,112
Sharp Corporation,106
ZTE Corporation,96
Research in Motion Limited,94
Kyocera Corporation,90
MOTOROLA Inc,77
Guangdong OPPO Mobile Telecommunications Corp Ltd,76
Koninklijke Philips Electronics NV,73
Panasonic Holdings Corporation,69
InterDigital Holdings Inc,63
Fraunhofer Institut für Integrierte Schaltungen IIS,60
Alcatel Lucent,59
Apple Inc,56
Core Wireless Licensing Sarl,53
Sony Corporation,51
Fujitsu Limited,48
Nokia Networks Oy,46
Orange,45
HTC Corporation,38
BlackBerry UK Limited,37
Nokia Solutions and Networks GmbH & Co KG,32
QUALCOMM Inc,30
Sony Group Corporation,29
InterDigital Technology Corporation,29
SHARP Corporation,27
Alcatel,26
ALCATEL-LUCENT,25
Koninklijke Philips NV,24
VoiceAge Corporation,20
Innovative Sonic Ltd,20
Panasonic Corporation,17
Convida Wireless LLC,17
Texas Instruments Inc,16
NEC Corporation (ARIB),14
Airbiquity Incorporated,14
Sisvel International SA,13
General Dynamics UK Limited,13
Tantivy Communications Inc,12
Sun Patent Trust,12
Nokia Solutions and Networks Oy,12
Koninklijke KPN NV,12
Mitsubishi Electric Corp,11
Electronics and Telecommunications Research Institute,11
China Mobile Communications Corporation,11
KDDI Corporation (TTC),10
Google Ireland Limited,10
Toshiba Corporation,9
Nortel Networks Ltd,9
Godo Kaisha IP Bridge 1,9
FG Innovation Company Limited,9
Deutsche Telekom AG,9
DENSO CORPORATION,8
China Academy of Telecommunications Technology (CATT),8
3G Licensing SA,8
Optis Wireless Technology LLC,6
Mitsubishi Electric Information Technology Centre Europe BV,6
Renesas Mobile Corporation,5
IPR Licensing Inc,5
Evolium SAS,5
Alcatel-Lucent Deutschland AG,5
Zhigu Holdings Limited,4
VirnetX Inc,4
TOYOTA MOTOR CORPORATION,4
Spectacular,4
Siemens Aktiengesellschaft,4
Motorola Mobility LLC,4
Microsoft Corp,4
Innovative Sonic Corporation,4
Beijing Xiaomi Mobile Software Co Ltd,4
Apple (UK) Limited,4
Alcatel-Lucent USA Inc,4
Sun Microsystems Inc,3
Marvell Switzerland SARL,3
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung eV,3
Coding Technologies AB,3
ASUSTeK Computer Inc,3
MediaTek Incorporated,2
Innovative Sonic Limited,2
Industrial Technology Research Institute,2
Hughes Network Systems Inc,2
Hewlett-Packard Enterprise,2
Conversant Wireless Licensing SARL,2
BlackBerry LTD,2
Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co Ltd,2
Acer Incorporated,2
Xiaomi HK Limited,1
Wi-Fi One LLC,1
Vringo Infrastructure Inc,1
VID SCALE INC,1
Unwired Planet LLC,1
Unwired Planet International Ltd,1
Telit Communications SpA,1
Telecom Italia SpA,1
Sierra Wireless Inc,1
Pantech Co Ltd,1
Panasonic Mobile Communications,1
Optis Cellular Technology LLC,1
Mitsubishi Electric Telecom Europe SA,1
Mitsubishi Electric R&D Centre Europe,1
KDDI Corporation,1
JRD COMMUNICATION (SHENZHEN) LTD,1
Infineon Technologies,1
IPCom GmbH & CoKG,1
Gemplus SA,1
Dilithium Networks Inc,1
CATT(Datang),1
BROADCOM CORPORATION,1
BENQ Corporation,1
AePONA LTD,1
AT&T Intellectual Property II LLC,1
AT&T,1
-1,1
