label,count
LG Electronics Inc,1162
Samsung Electronics Co LTD,1013
Qualcomm Incorporated,1011
NTT DOCOMO INC,912
Sharp Corporation,493
Guangdong OPPO Mobile Telecommunications Corp Ltd,440
Huawei Technologies Co Ltd,439
Telefonaktiebolaget LM Ericsson,384
NEC Corporation,379
Intel Corporation,346
Panasonic Holdings Corporation,336
ZTE Corporation,334
Kyocera Corporation,325
SHARP Corporation,268
WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC,233
Apple Inc,180
Fujitsu Limited,163
Sony Corporation,159
Nokia Technologies Oy,156
InterDigital Patent Holdings Inc,131
InterDigital Technology Corp,124
Motorola Mobility Inc,113
Nokia Networks Oy,108
Sony Group Corporation,105
QUALCOMM Inc,105
China Academy of Telecommunications Technology (CATT),101
InterDigital Holdings Inc,87
Nokia Corporation,86
MediaTek Incorporated,65
Sun Patent Trust,61
Alcatel Lucent,60
KDDI Corporation (TTC),59
Fraunhofer Institut für Integrierte Schaltungen IIS,58
InterDigital Technology Corporation,56
Koninklijke Philips NV,52
Electronics and Telecommunications Research Institute,48
Google Ireland Limited,47
Optis Wireless Technology LLC,40
ALCATEL-LUCENT,40
FG Innovation Company Limited,39
HTC Corporation,38
Innovative Sonic Corporation,35
Motorola Mobility LLC,34
Beijing Xiaomi Mobile Software Co Ltd,33
Innovative Sonic Ltd,32
Godo Kaisha IP Bridge 1,32
China Mobile Communications Corporation,32
BlackBerry UK Limited,29
Nokia Solutions and Networks GmbH & Co KG,28
Orange,27
Research in Motion Limited,26
CATT(Datang),26
NEC Corporation (ARIB),23
Texas Instruments Inc,22
Nokia Solutions and Networks Oy,21
Siemens AG,20
Pantech Co Ltd,20
Convida Wireless LLC,20
Panasonic Corporation,19
ASUSTeK Computer Inc,18
IPR Licensing Inc,17
Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co Ltd,16
VoiceAge Corporation,13
Unwired Planet LLC,13
Optis Cellular Technology LLC,13
Mitsubishi Electric R&D Centre Europe,12
Deutsche Telekom AG,12
General Dynamics UK Limited,11
Core Wireless Licensing Sarl,11
Acer Incorporated,11
Spectacular,10
Marvell Switzerland SARL,9
JRD COMMUNICATION (SHENZHEN) LTD,9
TOYOTA MOTOR CORPORATION,8
Alcatel-Lucent USA Inc,7
Nortel Networks Ltd,6
MOTOROLA Inc,6
Industrial Technology Research Institute,6
DENSO CORPORATION,6
Alcatel-Lucent Deutschland AG,6
vivo Mobile Communication Co Ltd,5
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung eV,5
VirnetX Inc,4
THALES SA,4
Telit Communications SpA,3
KDDI Corporation,3
HMD Global Oy,3
3G Licensing SA,3
Wi-Fi One LLC,2
Unwired Planet International Ltd,2
Ukpik Mobile Technologies LLC,2
Toshiba Corporation,2
Sisvel International SA,2
Conversant Wireless Licensing SARL,2
Zhigu Holdings Limited,1
Xiaomi HK Limited,1
Vringo Infrastructure Inc,1
Telecom Italia SpA,1
THALES,1
Sierra Wireless Inc,1
Satelio IoT Services,1
Nokia of America Corporation,1
Lenovo,1
Koninklijke KPN NV,1
KT Corporation,1
Innovative Sonic Limited,1
Infineon Technologies,1
Hyundai Motor Company,1
Hewlett-Packard Enterprise,1
Bräu Verwaltungsgesellschaft mit beschränkter Haftung,1
BlackBerry LTD,1
BROADCOM CORPORATION,1
Alcatel Lucent Worldwide except Alcatel Lucent and Alcatel Lucent Shanghai Bell Co Ltd in China,1
AT&T Intellectual Property II LLC,1
-1,1
