label,count
Guangdong OPPO Mobile Telecommunications Corp Ltd,18229
Qualcomm Incorporated,17174
Sharp Corporation,14262
WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC,12908
Huawei Technologies Co Ltd,6288
LG Electronics Inc,4398
NEC Corporation,3713
InterDigital Technology Corp,3349
Samsung Electronics Co LTD,3007
Nokia Corporation,2957
vivo Mobile Communication Co Ltd,2756
ZTE Corporation,2577
InterDigital Holdings Inc,2498
QUALCOMM Inc,2215
NTT DOCOMO INC,2041
Telefonaktiebolaget LM Ericsson,1591
Kyocera Corporation,1283
Intel Corporation,1195
Coding Technologies AB,1166
Apple Inc,1163
Nokia Technologies Oy,1129
Sun Patent Trust,1114
SHARP Corporation,882
Motorola Mobility Inc,840
Fujitsu Limited,824
Convida Wireless LLC,799
Sony Group Corporation,760
FG Innovation Company Limited,756
Electronics and Telecommunications Research Institute,733
China Mobile Communications Corporation,564
Koninklijke Philips NV,547
KDDI Corporation (TTC),486
Panasonic Holdings Corporation,463
InterDigital Patent Holdings Inc,447
ASUSTeK Computer Inc,406
Google Ireland Limited,369
Alcatel Lucent,368
Mitsubishi Electric R&D Centre Europe,343
InterDigital Technology Corporation,310
Acer Incorporated,283
Fraunhofer Institut für Integrierte Schaltungen IIS,268
DENSO CORPORATION,251
BlackBerry UK Limited,238
Spectacular,232
Orange,223
Beijing Xiaomi Mobile Software Co Ltd,215
Research in Motion Limited,204
KDDI Corporation,202
NEC Corporation (ARIB),195
MediaTek Incorporated,176
Dolby International AB,150
Electronics & Telecommunications Research Institute,148
CATT(Datang),147
Siemens AG,145
HTC Corporation,145
Apple (UK) Limited,144
VirnetX Inc,125
Ofinno LLC,120
Deutsche Telekom AG,118
Nokia Solutions and Networks Oy,116
VoiceAge Corporation,109
Nokia Solutions and Networks GmbH & Co KG,106
PanOptis Patent Management LLC,101
Sony Corporation,99
Dolby Laboratories Licensing Corporation,80
Mitsubishi Electric Corp,77
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung eV,76
Godo Kaisha IP Bridge 1,70
TOYOTA MOTOR CORPORATION,68
Panasonic Corporation,56
Lenovo,50
Nokia Networks Oy,49
Koninklijke KPN NV,43
Innovative Sonic Corporation,43
Innovative Sonic Limited,41
China Academy of Telecommunications Technology (CATT),39
Core Wireless Licensing Sarl,37
IPCom GmbH & CoKG,36
3G Licensing SA,36
Industrial Technology Research Institute,31
MOTOROLA Inc,30
Optis Wireless Technology LLC,28
Spreadtrum Communications (Shanghai) Co Ltd,26
IPR Licensing Inc,24
New H3C Technologies Co Ltd,20
Nokia of America Corporation,19
Toshiba Corporation,17
Wistron Corporation,16
Conversant Wireless Licensing SARL,15
Zhigu Holdings Limited,13
Koninklijke Philips Electronics NV,12
BENQ Corporation,12
ALCATEL-LUCENT,12
Nortel Networks Ltd,10
IDAC Holdings Inc,10
Ukpik Mobile Technologies LLC,9
Hyundai Motor Company,9
Sun Microsystems Inc,8
Sisvel International SA,8
Shanghai Langbo Communication Technology Co Ltd,8
Motorola Mobility LLC,8
HMD Global Oy,8
Xiaomi HK Limited,7
SK Telecom Co LTD,7
CANON INC,6
-1,6
JRD COMMUNICATION (SHENZHEN) LTD,5
Vringo Infrastructure Inc,4
Unwired Planet LLC,4
BlackBerry LTD,4
Telit Communications SpA,3
Siemens Aktiengesellschaft,3
Ericsson Telefonaktiebolaget LM,3
Unwired Planet International Ltd,2
Telecom Italia SpA,2
Microsoft Corp,2
IDTP Holdings Inc,2
Hewlett-Packard Enterprise,2
General Dynamics UK Limited,2
Fraunhofer Institute for Telecommunications Heinrich Hertz Institute,2
Alcatel-Lucent USA Inc,2
Alcatel-Lucent Deutschland AG,2
THALES,1
Sierra Wireless Inc,1
Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co Ltd,1
