label,count
TS_36.213,184814
TS_36.211,157791
TS_36.331,137666
TS_36.300,137408
TS_36.212,81280
TS_36.321,80154
TS_24.008,36393
TS_22.071,29073
TS_23.171,27201
TS_23.401,21718
TS_37.213,18370
TS_23.002,17550
TS_36.304,16002
TS_36.101,11609
TR_21.905,11240
TS_24.301,9892
TS_36.423,9831
TS_26.445,9311
TS_36.214,9283
TS_37.340,8497
TS_36.133,7801
TS_23.402,7606
TS_36.322,7587
TS_26.194,7048
TS_26.234,6550
TS_26.190,6445
TS_36.413,6083
TS_23.682,5974
TS_26.094,5964
TS_36.201,5895
TS_36.323,5882
TS_26.092,5783
TS_23.228,5715
TS_26.253,5463
TS_26.258,5449
TS_24.229,5074
TS_24.312,4982
TS_26.346,4967
TS_26.244,4859
TS_26.290,4836
TS_36.216,4763
TS_26.247,4533
TS_24.302,4321
TS_23.203,4291
TS_23.303,4219
TS_36.355,4088
TS_26.114,4071
TS_26.251,4045
TS_26.191,3814
TS_36.306,3426
TS_37.355,3418
TS_26.090,3294
TS_23.271,3279
TS_33.401,3203
TS_26.237,2605
TS_24.303,2586
TS_23.122,2545
TS_22.105,2401
TS_26.410,2398
TS_24.410,2392
TS_26.250,2348
TS_36.104,2212
TS_26.192,2114
TS_23.272,2033
TS_26.401,2000
TS_26.173,1976
TS_26.193,1969
TS_37.320,1934
TS_26.091,1864
TS_32.522,1851
TS_26.171,1834
TS_26.411,1800
TS_26.202,1789
TS_26.201,1789
TS_26.174,1789
TS_23.003,1717
TS_28.627,1648
TS_26.140,1599
TS_29.368,1583
TS_33.102,1581
TS_23.246,1521
TS_22.101,1486
TS_23.234,1480
TS_23.237,1451
TS_31.102,1449
TS_26.093,1398
TS_23.107,1333
TS_36.302,1316
TS_26.281,1313
TS_36.305,1236
TS_24.334,1185
TS_33.320,1177
TS_29.061,1156
TS_37.324,1150
TS_33.220,1116
TR_26.938,1106
TS_33.402,1103
TS_23.216,1055
TS_36.440,986
TS_24.234,966
TS_29.274,950
TS_29.212,938
TS_26.116,936
TS_29.002,920
TS_26.177,919
TR_23.887,905
TS_26.447,892
TS_29.244,863
TS_28.680,863
TS_21.111,855
TR_26.827,793
TS_33.303,785
TS_26.256,773
TS_36.314,761
TS_29.228,755
TS_23.261,751
TS_24.173,745
TS_23.167,735
TS_29.213,725
TS_36.441,721
TS_29.281,697
TS_26.255,695
TS_26.254,695
TS_26.252,695
TS_36.116,689
