label,count
TS_36.211,5693
TS_36.213,4795
TS_36.331,3308
TS_36.300,2801
TS_36.212,1928
TS_36.321,1622
TS_37.213,1216
TS_23.401,1180
TS_37.340,956
TS_37.355,952
TS_36.101,538
TS_36.133,394
TS_24.301,382
TS_36.304,372
TS_24.229,362
TS_23.228,349
TS_36.423,343
TS_26.445,320
TS_24.008,281
TS_23.203,249
TS_23.402,246
TS_36.413,212
TS_23.122,210
TS_23.303,189
TS_36.214,188
TS_36.322,179
TS_29.244,171
TS_26.253,165
TS_36.323,163
TS_36.216,149
TS_33.401,148
TS_36.201,143
TS_26.251,138
TS_26.114,130
TS_37.320,129
TS_26.234,116
TS_23.682,112
TS_23.272,101
TS_37.324,96
TS_23.246,95
TS_26.346,92
TS_23.003,92
TS_36.355,87
TS_36.306,86
TS_36.104,78
TS_23.271,73
TS_23.002,73
TS_36.305,66
TS_26.250,66
TS_26.247,63
TS_23.216,62
TS_23.237,60
TS_22.281,60
TS_29.212,58
TS_24.302,55
TS_23.292,52
TS_23.285,51
TS_23.234,47
TS_23.167,47
TS_33.220,45
TS_33.102,44
TS_29.274,44
TS_24.334,42
TS_23.107,41
TS_29.214,39
TS_26.190,38
TS_32.422,37
TS_28.312,37
TS_23.204,37
TS_32.240,36
TS_26.119,36
TS_22.368,36
TS_26.237,34
TS_26.090,34
TS_22.071,34
TS_29.281,32
TS_22.228,32
TS_27.007,31
TS_22.011,31
TS_29.213,30
TS_36.116,29
TS_29.272,28
TR_21.905,28
TS_36.440,27
TS_36.314,26
TS_33.536,26
TS_29.163,26
TS_26.290,26
TS_23.380,26
TS_29.122,25
TS_28.622,25
TS_23.206,25
TS_26.258,24
TS_26.177,24
TS_26.140,24
TS_24.173,24
TS_23.161,24
TS_23.041,24
TS_33.402,23
TS_33.122,23
TS_26.442,23
TS_23.222,23
TS_23.007,23
TS_29.228,22
TS_29.061,22
TS_26.447,22
TS_23.280,22
TS_36.302,21
TS_33.320,21
TS_33.303,21
TS_38.523-1,20
TS_23.214,20
TS_23.205,20
TS_23.139,20
TS_33.203,19
TS_24.237,19
TS_22.101,19
TS_31.102,18
TS_29.002,18
TS_23.433,18
TS_23.379,18
TS_21.111,18
TR_36.819,18
TS_25.446,17
TS_24.386,17
TS_24.292,17
TS_23.468,17
TS_23.221,17
TS_36.463,16
TS_26.171,16
TS_23.218,16
TS_23.040,16
TS_33.246,15
TS_33.234,15
TS_26.264,15
TS_26.244,15
TS_26.113,15
TS_24.030,15
TR_23.882,15
TS_38.509,14
TS_33.310,14
TS_32.522,14
TS_31.048,14
TS_36.401,13
TS_33.107,13
TS_24.234,13
TS_23.286,13
TS_38.508-1,12
TS_32.251,12
TS_31.111,12
TS_26.401,12
TS_24.379,12
TS_24.341,12
TS_24.161,12
TS_23.333,12
TS_23.251,12
TR_36.913,12
TR_36.902,12
TS_36.425,11
TS_33.328,11
TS_24.312,11
TS_23.279,11
TS_23.261,11
TS_23.207,11
TS_23.153,11
TS_23.125,11
TS_36.455,10
TS_32.551,10
TS_32.299,10
TS_29.273,10
TS_29.215,10
TS_28.535,10
TS_28.500,10
TS_28.405,10
TS_26.191,10
TS_24.279,10
TS_24.182,10
TS_24.147,10
TS_23.259,10
TS_22.278,10
TS_22.140,10
TR_36.814,10
TS_34.108,9
TS_32.593,9
TS_32.425,9
TS_28.627,9
TS_28.310,9
TS_26.094,9
TS_23.435,9
TS_23.236,9
TS_22.146,9
TR_36.806,9
TR_23.829,9
TS_36.421,8
TS_36.420,8
TS_32.421,8
TS_28.525,8
TS_23.179,8
TS_23.008,8
TR_23.831,8
TS_36.521-1,7
TS_36.443,7
TS_36.171,7
TS_32.500,7
TS_32.260,7
TS_32.111-2,7
TS_29.118,7
TS_26.281,7
TS_26.238,7
TS_26.071,7
TS_24.604,7
TS_24.303,7
TS_24.206,7
TS_24.183,7
TS_23.436,7
TS_23.327,7
TS_23.282,7
TS_22.179,7
TR_25.813,7
TR_23.888,7
TR_23.887,7
TS_33.259,6
TS_33.127,6
TS_32.501,6
TS_32.272,6
TS_29.232,6
TS_24.337,6
TS_23.830,6
TS_23.018,6
TR_25.913,6
TR_25.912,6
TR_23.830,6
TR_22.803,6
TS_38.523-3,5
TS_37.171,5
TS_36.441,5
TS_36.141,5
TS_33.223,5
TS_33.106,5
TS_32.277,5
TS_32.130,5
TS_29.275,5
TS_29.109,5
TS_26.448,5
TS_26.252,5
TS_26.194,5
TS_26.173,5
TS_24.647,5
TS_24.007,5
TS_23.334,5
TS_23.141,5
TS_22.259,5
TS_22.185,5
TR_26.938,5
TR_23.703,5
TS_33.210,4
TS_33.187,4
TS_33.110,4
TS_32.521,4
TS_32.511,4
TS_32.296,4
TS_32.280,4
TS_32.101,4
TS_31.130,4
TS_29.336,4
TS_29.311,4
TS_29.303,4
TS_29.171,4
TS_28.628,4
TS_28.512,4
TS_26.443,4
TS_26.441,4
TS_26.273,4
TS_26.192,4
TS_24.581,4
TS_24.368,4
TS_24.285,4
TS_24.228,4
TS_24.109,4
TS_24.011,4
TS_23.335,4
TS_23.255,4
TS_22.268,4
TS_22.016,4
TS_21.905,4
TR_33.978,4
TR_33.821,4
TR_32.842,4
TR_32.841,4
TR_26.946,4
TR_23.892,4
TR_23.705,4
TS_38.508-2,3
TS_37.107,3
TS_36.509,3
TS_36.411,3
TS_36.360,3
TS_36.307,3
TS_36.111,3
TS_34.229-1,3
TS_33.222,3
TS_33.221,3
TS_33.126,3
TS_32.742,3
TS_32.592,3
TS_32.583,3
TS_32.532,3
TS_32.423,3
TS_32.150,3
TS_31.101,3
TS_29.549,3
TS_29.368,3
TS_29.292,3
TS_29.234,3
TS_29.222,3
TS_29.079,3
TS_28.536,3
TS_28.526,3
TS_28.520,3
TS_28.510,3
TS_26.142,3
TS_26.102,3
TS_26.073,3
TS_24.410,3
TS_24.333,3
TS_24.282,3
TS_24.244,3
TS_24.080,3
TS_24.002,3
TS_23.888,3
