label,count
TS_36.213,20379
TS_36.211,16843
TS_36.300,14726
TS_36.331,13224
TS_36.212,8399
TS_36.321,7927
TS_24.008,4711
TS_22.071,4325
TS_23.171,3875
TS_23.002,2713
TS_23.401,1983
TR_21.905,1699
TS_37.213,1619
TS_36.304,1443
TS_36.101,1262
TS_36.423,1053
TS_24.301,965
TS_26.092,889
TS_37.340,840
TS_36.133,756
TS_36.322,754
TS_26.445,754
TS_26.190,738
TS_36.214,702
TS_26.194,682
TS_26.094,652
TS_23.271,635
TS_23.402,618
TS_36.323,608
TS_23.682,606
TS_26.234,599
TS_36.201,565
TS_36.413,556
TS_36.216,533
TS_22.105,528
TS_23.228,513
TS_26.290,508
TS_26.244,474
TS_26.346,471
TS_26.258,460
TS_26.253,460
TS_36.355,443
TS_24.303,437
TS_26.247,435
TS_26.410,424
TS_24.410,424
TS_24.229,405
TS_24.302,389
TS_24.312,373
TS_37.320,360
TS_26.114,350
TS_26.251,345
TS_23.303,338
TS_26.401,333
TS_36.306,325
TS_26.411,318
TS_23.203,304
TS_33.401,297
TS_36.104,261
TS_23.272,242
TS_26.090,232
TS_23.246,225
TS_26.191,220
TS_37.355,215
TS_23.122,214
TS_32.522,207
TS_26.237,194
TS_23.234,190
TS_26.140,189
TS_33.102,188
TS_23.107,184
TS_26.250,183
TS_28.627,176
TS_26.192,171
TS_26.173,167
TS_29.368,166
TS_23.237,163
TS_22.101,161
TS_23.003,154
TS_26.193,153
TS_26.281,146
TS_33.220,143
TS_36.302,141
TS_26.177,140
TS_24.334,138
TS_26.171,137
TS_26.202,135
TS_26.201,135
TS_26.174,135
TS_23.261,131
TS_31.102,128
TS_29.061,115
TS_26.116,114
TS_26.404,106
TS_24.234,105
TS_26.447,103
TS_36.305,102
TS_33.246,97
TS_23.218,97
TR_23.887,95
TS_29.274,93
TS_37.324,92
TS_33.320,92
TS_36.314,89
TS_33.203,88
TS_36.440,86
TS_33.402,84
TR_26.938,81
TS_33.303,78
TS_31.101,78
TS_29.002,77
TS_29.228,75
TS_24.228,75
TS_29.281,73
TS_29.272,73
TS_21.111,73
TS_22.368,71
TR_26.827,71
TS_26.256,70
TS_23.204,66
TS_36.401,65
TS_23.285,65
TS_23.216,65
TS_33.234,64
TS_28.680,64
TS_26.141,64
TS_26.255,62
TS_26.254,62
TS_26.252,62
TS_23.007,61
TS_31.111,58
TS_29.244,58
TS_29.212,58
TS_26.091,57
TS_23.207,57
TS_32.422,56
TS_22.146,56
TR_23.888,56
TS_26.441,55
TS_24.002,55
TS_22.228,54
TS_36.441,52
TS_26.442,52
TS_26.093,52
TS_32.593,51
TS_23.167,50
TS_29.213,49
TS_36.116,48
TS_24.161,47
TS_36.463,44
TS_29.122,44
TS_24.341,44
TS_23.327,44
TS_23.008,44
TS_24.292,43
TS_23.040,43
TS_31.048,42
TS_36.523-1,41
TS_33.222,41
TS_24.386,41
TS_33.328,40
TS_29.109,40
TR_23.705,39
TS_32.251,38
TS_24.237,38
TS_24.030,38
TS_36.443,36
TS_29.163,36
TR_36.913,36
TR_32.836,36
TS_23.292,35
TS_24.285,34
TS_23.206,34
TS_32.762,33
TS_32.101,33
TS_23.236,33
TS_36.455,32
TS_24.080,32
TS_23.041,32
TS_22.281,32
TS_22.011,32
TR_32.841,32
TS_36.307,31
TS_32.240,31
TS_36.425,30
TS_29.337,30
TS_29.118,30
TS_25.446,30
TS_23.161,30
TS_23.153,30
TS_21.905,29
TR_25.912,29
TS_24.368,28
TS_24.244,28
TS_32.583,27
TS_29.336,27
TS_32.299,26
TS_23.468,26
TS_23.279,26
TS_33.210,25
TS_33.141,25
TS_29.214,25
TS_23.221,25
TS_29.229,24
TS_26.071,24
TS_24.337,24
TS_32.551,23
TS_29.273,23
TS_24.173,23
TS_24.135,23
TS_23.251,23
TS_23.135,23
TR_36.828,23
TS_31.130,22
TS_28.628,22
TR_36.822,22
TR_36.300,22
TR_25.913,22
TS_36.521-1,21
TS_36.442,21
TS_22.135,21
TR_26.946,21
TS_32.642,20
TS_32.392,20
TR_23.703,20
TR_22.828,20
TS_29.275,19
TS_27.007,19
TR_24.930,19
TS_36.420,18
TS_22.016,18
TS_22.004,18
TR_23.882,18
TS_29.468,17
TS_29.171,17
TS_24.007,17
TS_22.140,17
TS_36.464,16
TS_32.260,16
TS_26.443,16
TS_24.206,16
TS_36.509,15
TS_36.465,15
TS_33.187,15
TS_22.246,15
TR_25.813,15
TS_36.171,14
TS_34.108,14
TS_26.273,14
TS_26.119,14
TS_24.279,14
TS_23.141,14
TS_23.018,14
TR_36.872,14
TR_23.831,14
TR_23.829,14
TS_36.462,13
TS_36.141,13
TS_32.298,13
TS_31.131,13
TS_23.335,13
TS_32.322,12
TS_26.448,12
TS_23.521,12
TS_23.380,12
TS_23.240,12
TR_37.834,12
TR_36.819,12
TS_29.154,11
TS_26.073,11
TS_24.167,11
TS_23.280,11
TS_36.422,10
TS_36.360,10
TS_36.117,10
TS_32.602,10
TS_32.600,10
TS_26.235,10
TS_24.011,10
TS_22.243,10
TS_38.509,9
TS_35.206,9
TS_32.425,9
TS_32.296,9
TS_26.243,9
TS_24.141,9
TS_23.205,9
TS_23.119,9
TS_22.038,9
TR_36.922,9
TS_35.216,8
TS_35.215,8
TS_33.221,8
TS_33.107,8
TS_32.692,8
TS_32.500,8
TS_32.452,8
TS_29.153,8
TS_29.128,8
TS_24.147,8
TS_23.214,8
TR_36.902,8
TR_33.820,8
TR_23.852,8
TR_23.708,8
TR_22.853,8
TR_22.801,8
TS_33.536,7
TS_26.102,7
TS_24.327,7
TS_23.125,7
TR_36.814,7
TR_23.865,7
TR_22.868,7
TS_36.444,6
TS_36.412,6
TS_33.163,6
TS_32.511,6
TS_32.423,6
TS_32.321,6
TS_31.103,6
TS_29.334,6
TS_29.172,6
TS_26.347,6
TS_26.264,6
TS_26.101,6
TS_24.305,6
TS_24.294,6
TS_24.250,6
TS_24.238,6
TS_24.216,6
TS_24.109,6
TS_23.286,6
TS_23.139,6
TS_22.468,6
TS_22.030,6
TR_36.860,6
TR_36.848,6
TR_32.816,6
TR_22.803,6
TS_38.523-3,5
TS_36.424,5
TS_36.414,5
TS_36.410,5
TS_32.521,5
TS_32.442,5
TS_32.277,5
TS_26.233,5
TS_26.150,5
TS_24.379,5
TS_24.171,5
TS_23.433,5
TS_23.379,5
TS_23.222,5
TS_36.113,4
TS_33.180,4
TS_32.274,4
TS_31.220,4
TS_29.328,4
TS_29.311,4
TS_29.303,4
TS_29.251,4
TS_29.250,4
TS_29.238,4
TS_28.622,4
TS_26.238,4
TS_25.813,4
TS_24.642,4
TS_24.604,4
TS_24.385,4
TS_24.259,4
TS_23.015,4
TS_22.278,4
TS_21.201,4
TR_36.806,4
TR_26.944,4
TR_24.837,4
TR_23.769,4
TR_22.906,4
TR_22.888,4
TS_32.592,3
TS_32.421,3
TS_32.281,3
TS_32.130,3
TS_29.338,3
TS_29.232,3
TS_29.222,3
TS_28.403,3
TS_26.451,3
TS_26.446,3
TS_26.304,3
TS_24.371,3
TS_24.182,3
TS_23.333,3
TS_23.012,3
TS_22.185,3
TS_22.141,3
TS_22.115,3
TR_36.942,3
TR_33.812,3
TR_32.842,3
TR_23.859,3
TR_23.709,3
TS_37.571-1,2
TS_37.473,2
TS_37.472,2
TS_37.471,2
TS_37.470,2
TS_36.902,2
TS_36.523-3,2
TS_36.461,2
TS_36.361,2
TS_33.310,2
TS_33.259,2
TS_33.223,2
TS_32.766,2
TS_32.541,2
TS_32.272,2
TS_32.271,2
TS_31.115,2
TS_29.804,2
TS_29.673,2
TS_29.292,2
TS_29.215,2
TS_29.116,2
TS_29.079,2
TS_29.010,2
TS_28.525,2
TS_28.516,2
TS_28.515,2
TS_28.510,2
TS_28.500,2
TS_28.312,2
TS_27.060,2
TS_26.348,2
TS_26.113,2
TS_24.930,2
TS_24.628,2
TS_24.333,2
TS_24.183,2
TS_24.105,2
TS_24.103,2
TS_23.435,2
TS_23.334,2
TS_23.195,2
TS_23.038,2
TS_22.259,2
TS_22.168,2
TS_22.003,2
TR_37.977,2
TR_37.869,2
TR_36.912,2
TR_36.888,2
TR_36.805,2
TR_33.978,2
TR_33.895,2
TR_26.848,2
TR_24.880,2
TR_24.801,2
TR_23.839,2
TR_23.789,2
TR_23.779,2
TR_23.773,2
TR_23.713,2
TR_22.951,2
TR_22.805,2
TS_36.111,1
TS_34.229-1,1
TS_33.185,1
TS_33.179,1
TS_33.122,1
TS_33.110,1
TS_32.526,1
TS_32.453,1
TS_32.426,1
TS_32.300,1
TS_31.124,1
TS_31.121,1
TS_29.344,1
TS_29.335,1
TS_29.280,1
TS_28.658,1
TS_28.620,1
TS_28.536,1
TS_28.535,1
TS_28.526,1
TS_28.520,1
TS_28.511,1
TS_28.405,1
TS_28.311,1
TS_28.310,1
TS_26.245,1
TS_26.131,1
TS_24.581,1
TS_24.380,1
TS_24.304,1
TS_24.174,1
TS_24.139,1
TS_23.830,1
TS_23.632,1
TS_23.198,1
TS_23.180,1
TS_23.048,1
TS_22.289,1
TR_37.857,1
TR_36.855,1
TR_36.842,1
