label,count
TS_38.213,2407
TS_38.331,2176
TS_38.211,1618
TS_38.212,1479
TS_38.214,1464
TS_38.321,1376
TS_38.300,1216
TS_23.501,572
TS_37.213,248
TS_37.340,242
TS_26.445,231
TS_23.502,217
TS_38.201,207
TS_24.008,207
TS_24.301,185
TS_38.202,166
TS_38.133,160
TS_38.304,151
TS_24.501,144
TS_33.501,123
TS_24.229,123
TS_38.323,119
TS_38.423,110
TS_38.101,91
TS_23.228,87
TS_38.306,86
TS_37.355,81
TS_26.253,76
TS_38.322,75
TS_37.320,74
TS_38.305,66
TS_38.401,62
TS_23.503,62
TS_38.413,61
TS_26.346,57
TS_38.215,51
TS_38.101-1,51
TS_38.314,50
TS_26.251,47
TS_24.302,46
TS_26.114,42
TS_23.304,41
TS_23.287,39
TS_26.190,38
TS_33.102,33
TS_26.090,33
TS_23.122,33
TS_22.261,33
TS_37.324,31
TS_23.003,31
TS_26.258,28
TS_22.071,28
TS_29.274,27
TS_26.290,27
TR_21.905,27
TS_26.250,26
TS_24.502,26
TS_23.558,26
TS_24.587,23
TS_23.288,23
TS_23.273,23
TS_38.473,22
TS_29.272,22
TS_26.244,22
TS_26.118,22
TS_26.502,20
TS_29.212,19
TS_29.061,18
TS_22.101,18
TS_32.422,17
TS_38.355,16
TS_38.104,16
TS_33.220,16
TS_26.117,16
TS_38.101-2,15
TS_31.102,15
TS_38.340,14
TS_26.447,14
TS_38.455,13
TS_26.501,13
TS_26.442,13
TS_26.140,12
TS_24.237,12
TS_23.041,12
TS_22.281,12
TS_38.425,10
TS_29.244,10
TS_26.191,10
TS_26.177,10
TS_33.503,9
TS_29.500,9
TS_24.526,9
TS_23.247,9
TS_23.218,9
TS_38.463,8
TS_29.281,8
TS_29.273,8
TS_29.163,8
TS_27.007,8
TS_26.401,8
TS_26.094,8
TS_23.434,8
TS_23.256,8
TS_22.011,8
TS_38.470,7
TS_38.391,7
TS_32.256,7
TS_29.522,7
TS_29.228,7
TS_29.213,7
TS_29.002,7
TS_26.252,7
TS_26.194,7
TS_23.548,7
TS_23.040,7
TS_31.130,6
TS_31.111,6
TS_29.502,6
TS_29.214,6
TS_29.122,6
TS_26.265,6
TS_26.237,6
TS_23.527,6
TS_23.380,6
TS_23.008,6
TR_26.938,6
TS_38.351,5
TS_33.328,5
TS_29.510,5
TS_26.173,5
TS_26.171,5
TS_26.119,5
TS_24.554,5
TS_24.173,5
TS_23.554,5
TS_23.316,5
TS_21.905,5
TS_38.151,4
TS_32.290,4
TS_32.277,4
TS_32.255,4
TS_32.240,4
TS_29.561,4
TS_29.512,4
TS_28.531,4
TS_28.313,4
TS_26.512,4
TS_26.448,4
TS_26.238,4
TS_24.341,4
TS_24.011,4
TS_23.289,4
TS_22.016,4
TS_21.111,4
TS_38.509,3
TS_38.420,3
TS_38.174,3
TS_38.101-5,3
TS_38.101-3,3
TS_33.535,3
TS_32.130,3
TS_31.101,3
TS_29.573,3
TS_29.513,3
TS_29.503,3
TS_26.443,3
TS_26.261,3
TS_26.193,3
TS_26.150,3
TS_26.102,3
TS_26.073,3
TS_24.182,3
TS_24.007,3
TR_26.946,3
TS_38.523-3,2
TS_38.475,2
TS_38.412,2
TS_38.307,2
TS_38.291,2
TS_38.106,2
TS_38.101-4,2
TS_37.483,2
TS_33.180,2
TS_32.291,2
TS_32.281,2
TS_29.531,2
TS_29.518,2
TS_29.515,2
TS_29.303,2
TS_28.622,2
TS_26.511,2
TS_26.264,2
TS_26.243,2
TS_26.174,2
TS_26.113,2
TS_26.093,2
TS_26.091,2
TS_24.604,2
TS_24.588,2
TS_24.171,2
TS_24.167,2
TS_24.002,2
TS_23.586,2
TS_22.468,2
TS_38.521-1,1
TS_38.415,1
TS_38.176-1,1
TS_38.113,1
TS_37.571-1,1
TS_37.472,1
TS_37.471,1
TS_34.229-5,1
TS_33.536,1
TS_33.516,1
TS_33.512,1
TS_33.310,1
TS_33.163,1
TS_33.122,1
TS_32.423,1
TS_32.421,1
TS_32.299,1
TS_32.298,1
TS_32.274,1
TS_32.260,1
TS_31.121,1
TS_31.103,1
TS_29.673,1
TS_29.576,1
TS_29.572,1
TS_29.507,1
TS_29.504,1
TS_29.292,1
TS_29.116,1
TS_29.010,1
TS_28.554,1
TS_28.552,1
TS_28.541,1
TS_28.532,1
TS_28.530,1
TS_28.405,1
TS_28.312,1
TS_28.311,1
TS_28.310,1
TS_28.104,1
TS_26.446,1
TS_26.441,1
TS_26.304,1
TS_26.256,1
TS_26.254,1
TS_26.202,1
TS_26.192,1
TS_26.141,1
TS_26.131,1
TS_26.101,1
TS_26.071,1
TS_24.538,1
TS_24.535,1
TS_24.519,1
TS_24.238,1
TS_24.193,1
TS_24.183,1
TS_24.174,1
TS_24.080,1
TS_23.632,1
TS_23.435,1
TS_23.433,1
TS_23.222,1
TS_23.180,1
TS_23.015,1
TS_22.289,1
TS_22.030,1
TR_38.804,1
TR_26.944,1
