IPRD_ID,IPRD_REFERENCE,IPRD_SIGNATURE_DATE,Reflected_Date,COMP_LEGAL_NAME,DECL_IS_PROP_FLAG,LICD_DEC_PREP_TO_GRANT_FLAG,LICD_REC_CONDI_FLAG,DIPG_ID,DIPG_DISPLAY_NUMBER,DIPG_EXTERNAL_ID,Standard,Ess_To_Standard,WI_Type,WOIT_ETSI_DELIVERABLE_NUMBER,WOIT_REFERENCE,WOIT_VERSION,3GPP_Type,TGPP_NUMBER,TGPV_VERSION,Patent_Type,PATT_APPLICATION_NUMBER,PUBL_NUMBER,PBPA_TITLEEN,PBPA_PRIORITY_NUMBERS,Country_Of_Registration,PBPA_APP_DATE,ETPR_ID,ETPR_ACRONYM,Ess_To_Project,Illustrative_Part,DIPG_PATF_ID,Original_Application_Number,Original_Publication_Number,Explicitely_Disclosed,Normalized_Patent,2G,3G,4G,5G
2381,ISLD-201608-010,2016-08-31,2016-10-06,NTT DOCOMO INC,1,1,1,43483,1,-1,TS 136 300 (RTS/TSGR-0236300vc40) version 12.4.0 -- 3GPP TS 36.300 version 12.4.0,1,TS,136 300,RTS/TSGR-0236300vc40,12.4.0,TS,36.300,12.4.0,Family Member,CN2013832490,CN104396293 A,Radio communication system and base station,|JP20120140900|WO2013JP63391|,CN CHINA,2013-05-14,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 4.9, 6.1.2.2, 6.1.3.2, 6.5, 7.6, 10.1.2.8.1",20438,-1,-1,1,1,0,0,1,0
2381,ISLD-201608-010,2016-08-31,2016-10-06,NTT DOCOMO INC,1,1,1,43483,1,-1,TS 136 300 (RTS/TSGR-0236300vc40) version 12.4.0 -- 3GPP TS 36.300 version 12.4.0,1,TS,136 300,RTS/TSGR-0236300vc40,12.4.0,TS,36.300,12.4.0,Family Member,WO2013JP63391,WO2013190929 A1,RADIO COMMUNICATION SYSTEM AND BASE STATION,|JP20120140900|,WO Patent Cooperation Treaty,2013-05-14,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 4.9, 6.1.2.2, 6.1.3.2, 6.5, 7.6, 10.1.2.8.1",20438,-1,-1,1,1,0,0,1,0
2381,ISLD-201608-010,2016-08-31,2016-10-06,NTT DOCOMO INC,1,1,1,43483,1,-1,TS 136 300 (RTS/TSGR-0236300vc40) version 12.4.0 -- 3GPP TS 36.300 version 12.4.0,1,TS,136 300,RTS/TSGR-0236300vc40,12.4.0,TS,36.300,12.4.0,Basis Patent,JP20120140900,JP2014007500 A | JP5758352 B2,RADIO COMMUNICATION SYSTEM AND BASE STATION,|JP20120140900|,JP JAPAN,2012-06-22,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 4.9, 6.1.2.2, 6.1.3.2, 6.5, 7.6, 10.1.2.8.1",20438,-1,-1,1,1,0,0,1,0
4213,ISLD-201906-021,2019-06-17,2019-06-27,NTT DOCOMO INC,1,1,1,83279,80,-1,TS 136 300 (RTS/TSGR-0236300vf50) version 15.5.0 -- 3GPP TS 36.300 version 15.5.0,1,TS,136 300,RTS/TSGR-0236300vf50,15.5.0,TS,36.300,15.5.0,Basis Patent,JP20120140900,JP2014007500 A | JP5758352 B2,RADIO COMMUNICATION SYSTEM AND BASE STATION,|JP20120140900|,JP JAPAN,2012-06-22,1228,"3GPP-Release-15 | GSM Phase 2+, UMTS, LTE, 5G release 15",1,-1,20438,-1,-1,1,1,0,0,1,0
4301,ISLD-201907-041,2019-08-01,2019-08-09,NTT DOCOMO INC,1,1,1,90289,57,-1,TS 137 340 (RTS/TSGR-0237340vf60) version 15.6.0 -- 3GPP TS 37.340 version 15.6.0,1,TS,137 340,RTS/TSGR-0237340vf60,15.6.0,TS,37.340,15.6.0,Basis Patent,JP20120140900,JP2014007500 A | JP5758352 B2,RADIO COMMUNICATION SYSTEM AND BASE STATION,|JP20120140900|,JP JAPAN,2012-06-22,1228,"3GPP-Release-15 | GSM Phase 2+, UMTS, LTE, 5G release 15",1,Section 10.2.1,20438,-1,-1,1,1,0,1,1,1
4252,ISLD-201907-008,2019-07-11,2019-07-23,NTT DOCOMO INC,1,1,1,87420,294,-1,TS 136 300 (RTS/TSGR-0236300vf50) version 15.5.0 -- 3GPP TS 36.300 version 15.5.0,1,TS,136 300,RTS/TSGR-0236300vf50,15.5.0,TS,36.300,15.5.0,Basis Patent,US201314406757,US2015172963 A1 | US9344922 B2,RADIO COMMUNICATION SYSTEM AND BASE STATION,|JP20120140900|WO2013JP63391|,US UNITED STATES,2013-05-14,1228,"3GPP-Release-15 | GSM Phase 2+, UMTS, LTE, 5G release 15",1,-1,20438,-1,-1,1,1,0,0,1,0
4252,ISLD-201907-008,2019-07-11,2019-07-23,NTT DOCOMO INC,1,1,1,87420,294,-1,TS 136 300 (RTS/TSGR-0236300vf50) version 15.5.0 -- 3GPP TS 36.300 version 15.5.0,1,TS,136 300,RTS/TSGR-0236300vf50,15.5.0,TS,36.300,15.5.0,Family Member,WO2013JP63391,WO2013190929 A1,RADIO COMMUNICATION SYSTEM AND BASE STATION,|JP20120140900|,WO Patent Cooperation Treaty,2013-05-14,1228,"3GPP-Release-15 | GSM Phase 2+, UMTS, LTE, 5G release 15",1,-1,20438,-1,-1,0,1,0,0,1,0
4213,ISLD-201906-021,2019-06-17,2019-06-27,NTT DOCOMO INC,1,1,1,83279,80,-1,TS 136 300 (RTS/TSGR-0236300vf50) version 15.5.0 -- 3GPP TS 36.300 version 15.5.0,1,TS,136 300,RTS/TSGR-0236300vf50,15.5.0,TS,36.300,15.5.0,Family Member,CN2013832490,CN104396293 A,Radio communication system and base station,|JP20120140900|WO2013JP63391|,CN CHINA,2013-05-14,1228,"3GPP-Release-15 | GSM Phase 2+, UMTS, LTE, 5G release 15",1,-1,20438,-1,-1,0,1,0,0,1,0
4213,ISLD-201906-021,2019-06-17,2019-06-27,NTT DOCOMO INC,1,1,1,83279,80,-1,TS 136 300 (RTS/TSGR-0236300vf50) version 15.5.0 -- 3GPP TS 36.300 version 15.5.0,1,TS,136 300,RTS/TSGR-0236300vf50,15.5.0,TS,36.300,15.5.0,Family Member,US201314406757,US2015172963 A1 | US9344922 B2,RADIO COMMUNICATION SYSTEM AND BASE STATION,|JP20120140900|WO2013JP63391|,US UNITED STATES,2013-05-14,1228,"3GPP-Release-15 | GSM Phase 2+, UMTS, LTE, 5G release 15",1,-1,20438,-1,-1,0,1,0,0,1,0
4213,ISLD-201906-021,2019-06-17,2019-06-27,NTT DOCOMO INC,1,1,1,83279,80,-1,TS 136 300 (RTS/TSGR-0236300vf50) version 15.5.0 -- 3GPP TS 36.300 version 15.5.0,1,TS,136 300,RTS/TSGR-0236300vf50,15.5.0,TS,36.300,15.5.0,Family Member,WO2013JP63391,WO2013190929 A1,RADIO COMMUNICATION SYSTEM AND BASE STATION,|JP20120140900|,WO Patent Cooperation Treaty,2013-05-14,1228,"3GPP-Release-15 | GSM Phase 2+, UMTS, LTE, 5G release 15",1,-1,20438,-1,-1,0,1,0,0,1,0
