IPRD_ID,IPRD_REFERENCE,IPRD_SIGNATURE_DATE,Reflected_Date,COMP_LEGAL_NAME,DECL_IS_PROP_FLAG,LICD_DEC_PREP_TO_GRANT_FLAG,LICD_REC_CONDI_FLAG,DIPG_ID,DIPG_DISPLAY_NUMBER,DIPG_EXTERNAL_ID,Standard,Ess_To_Standard,WI_Type,WOIT_ETSI_DELIVERABLE_NUMBER,WOIT_REFERENCE,WOIT_VERSION,3GPP_Type,TGPP_NUMBER,TGPV_VERSION,Patent_Type,PATT_APPLICATION_NUMBER,PUBL_NUMBER,PBPA_TITLEEN,PBPA_PRIORITY_NUMBERS,Country_Of_Registration,PBPA_APP_DATE,ETPR_ID,ETPR_ACRONYM,Ess_To_Project,Illustrative_Part,DIPG_PATF_ID,Original_Application_Number,Original_Publication_Number,Explicitely_Disclosed,Normalized_Patent,2G,3G,4G,5G
2381,ISLD-201608-010,2016-08-31,2016-10-06,NTT DOCOMO INC,1,1,1,43483,1,-1,TS 136 300 (RTS/TSGR-0236300vc40) version 12.4.0 -- 3GPP TS 36.300 version 12.4.0,1,TS,136 300,RTS/TSGR-0236300vc40,12.4.0,TS,36.300,12.4.0,Family Member,CN2013832490,CN104396293 A,Radio communication system and base station,|JP20120140900|WO2013JP63391|,CN CHINA,2013-05-14,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 4.9, 6.1.2.2, 6.1.3.2, 6.5, 7.6, 10.1.2.8.1",20438,-1,-1,1,1,0,0,1,0
2381,ISLD-201608-010,2016-08-31,2016-10-06,NTT DOCOMO INC,1,1,1,43483,1,-1,TS 136 300 (RTS/TSGR-0236300vc40) version 12.4.0 -- 3GPP TS 36.300 version 12.4.0,1,TS,136 300,RTS/TSGR-0236300vc40,12.4.0,TS,36.300,12.4.0,Family Member,WO2013JP63391,WO2013190929 A1,RADIO COMMUNICATION SYSTEM AND BASE STATION,|JP20120140900|,WO Patent Cooperation Treaty,2013-05-14,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 4.9, 6.1.2.2, 6.1.3.2, 6.5, 7.6, 10.1.2.8.1",20438,-1,-1,1,1,0,0,1,0
2381,ISLD-201608-010,2016-08-31,2016-10-06,NTT DOCOMO INC,1,1,1,43484,2,-1,TS 136 300 (RTS/TSGR-0236300vc40) version 12.4.0 -- 3GPP TS 36.300 version 12.4.0,1,TS,136 300,RTS/TSGR-0236300vc40,12.4.0,TS,36.300,12.4.0,Basis Patent,JP20120150810,JP2014014019 A | JP5758354 B2,WIRELESS COMMUNICATION SYSTEM,|JP20120150810|,JP JAPAN,2012-07-04,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 4, 7.6, 8.2, 10.1.2.8.1",20439,-1,-1,1,1,0,0,1,0
2381,ISLD-201608-010,2016-08-31,2016-10-06,NTT DOCOMO INC,1,1,1,43484,2,-1,TS 136 300 (RTS/TSGR-0236300vc40) version 12.4.0 -- 3GPP TS 36.300 version 12.4.0,1,TS,136 300,RTS/TSGR-0236300vc40,12.4.0,TS,36.300,12.4.0,Family Member,WO2013JP63537,WO2014006982 A1,WIRELESS COMMUNICATION SYSTEM,|JP20120150810|,WO Patent Cooperation Treaty,2013-05-15,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 4, 7.6, 8.2, 10.1.2.8.1",20439,-1,-1,1,1,0,0,1,0
2381,ISLD-201608-010,2016-08-31,2016-10-06,NTT DOCOMO INC,1,1,1,43485,3,-1,TS 136 300 (RTS/TSGR-0236300vc40) version 12.4.0 -- 3GPP TS 36.300 version 12.4.0,1,TS,136 300,RTS/TSGR-0236300vc40,12.4.0,TS,36.300,12.4.0,Basis Patent,JP20120140899,JP2014007499 A | JP5758351 B2,RADIO COMMUNICATION SYSTEM,|JP20120140899|,JP JAPAN,2012-06-22,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 4, 7.6, 10.1.2.8.2, 10.1.2.8.4, 19.2.2.4.5",20440,-1,-1,1,1,0,0,1,0
2381,ISLD-201608-010,2016-08-31,2016-10-06,NTT DOCOMO INC,1,1,1,43485,3,-1,TS 136 300 (RTS/TSGR-0236300vc40) version 12.4.0 -- 3GPP TS 36.300 version 12.4.0,1,TS,136 300,RTS/TSGR-0236300vc40,12.4.0,TS,36.300,12.4.0,Family Member,EP20130807644,EP2866494 A1 | EP2866494 A4 | EP2866494 B1 | EP2866494 B8,WIRELESS COMMUNICATION SYSTEM,|JP20120140899|WO2013JP66302|,EP European Patent Office,2013-06-13,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 4, 7.6, 10.1.2.8.2, 10.1.2.8.4, 19.2.2.4.5",20440,-1,-1,1,1,0,0,1,0
2381,ISLD-201608-010,2016-08-31,2016-10-06,NTT DOCOMO INC,1,1,1,43485,3,-1,TS 136 300 (RTS/TSGR-0236300vc40) version 12.4.0 -- 3GPP TS 36.300 version 12.4.0,1,TS,136 300,RTS/TSGR-0236300vc40,12.4.0,TS,36.300,12.4.0,Family Member,WO2013JP66302,WO2013191074 A1,WIRELESS COMMUNICATION SYSTEM,|JP20120140899|,WO Patent Cooperation Treaty,2013-06-13,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 4, 7.6, 10.1.2.8.2, 10.1.2.8.4, 19.2.2.4.5",20440,-1,-1,1,1,0,0,1,0
2381,ISLD-201608-010,2016-08-31,2016-10-06,NTT DOCOMO INC,1,1,1,43486,4,-1,TS 136 300 (RTS/TSGR-0236300vc40) version 12.4.0 -- 3GPP TS 36.300 version 12.4.0,1,TS,136 300,RTS/TSGR-0236300vc40,12.4.0,TS,36.300,12.4.0,Family Member,CN2013847725,CN104620624 A,"Mobile communication system, radio base station and mobile station",|JP20120201344|WO2013JP72050|,CN CHINA,2013-08-19,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 3.1, 4.9.2, 4.9.3.1, 4.9.3.2, 6.5, 7.6",20441,-1,-1,1,1,0,0,1,0
2381,ISLD-201608-010,2016-08-31,2016-10-06,NTT DOCOMO INC,1,1,1,43486,4,-1,TS 136 321 (RTS/TSGR-0236321vc40) version 12.4.0 -- 3GPP TS 36.321 version 12.4.0,1,TS,136 321,RTS/TSGR-0236321vc40,12.4.0,TS,36.321,12.4.0,Family Member,CN2013847725,CN104620624 A,"Mobile communication system, radio base station and mobile station",|JP20120201344|WO2013JP72050|,CN CHINA,2013-08-19,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 4.5.3.1, 5.1.4",20441,-1,-1,1,1,0,0,1,0
2381,ISLD-201608-010,2016-08-31,2016-10-06,NTT DOCOMO INC,1,1,1,43486,4,-1,TS 136 331 (RTS/TSGR-0236331vc41) version 12.4.1 -- 3GPP TS 36.331 version 12.4.1,1,TS,136 331,RTS/TSGR-0236331vc41,12.4.1,TS,36.331,12.4.1,Family Member,WO2013JP72050,WO2014041962 A1,"MOBILE COMMUNICATION SYSTEM, RADIO BASE STATION AND MOBILE STATION",|JP20120201344|,WO Patent Cooperation Treaty,2013-08-19,876,3GPP-Release-12 | GSM Phase 2+ and UMTS/LTE/LTE-Advanced release 12,1,"Section 4.2.2, 4.4, 5.3.11.3, 5.6.13",20441,-1,-1,1,1,0,0,1,0
