label,count
Nokia Technologies Oy,214
ZTE Corporation,145
Nokia Corporation,128
Qualcomm Incorporated,122
Samsung Electronics Co LTD,118
Huawei Technologies Co Ltd,104
Orange,80
Telefonaktiebolaget LM Ericsson,77
Siemens AG,72
Nokia Solutions and Networks Oy,67
NEC Corporation,65
LG Electronics Inc,65
NTT DOCOMO INC,56
Guangdong OPPO Mobile Telecommunications Corp Ltd,47
Nokia Networks Oy,44
Alcatel Lucent,42
Apple Inc,31
Research in Motion Limited,30
ALCATEL-LUCENT,30
Intel Corporation,29
Nokia Solutions and Networks GmbH & Co KG,27
InterDigital Holdings Inc,22
Koninklijke KPN NV,20
China Mobile Communications Corporation,19
BlackBerry UK Limited,19
Beijing Xiaomi Mobile Software Co Ltd,19
FG Innovation Company Limited,17
Nortel Networks Ltd,15
Sharp Corporation,14
Google Ireland Limited,14
Fujitsu Limited,14
CATT(Datang),14
Deutsche Telekom AG,13
InterDigital Patent Holdings Inc,12
MediaTek Incorporated,11
Alcatel,11
SHARP Corporation,10
Sony Corporation,9
QUALCOMM Inc,9
HTC Corporation,9
Electronics and Telecommunications Research Institute,9
Sony Group Corporation,8
Motorola Mobility Inc,8
InterDigital Technology Corp,8
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung eV,8
Evolium SAS,8
Renesas Mobile Corporation,7
Ofinno LLC,7
MOTOROLA Inc,7
IPR Licensing Inc,7
Acer Incorporated,7
Texas Instruments Inc,6
Spreadtrum Communications (Shanghai) Co Ltd,6
Sierra Wireless Inc,6
SHENZHEN TRANSSION HOLDINGS COLTD,6
Panasonic Holdings Corporation,6
General Dynamics UK Limited,6
China Academy of Telecommunications Technology (CATT),6
Lenovo,5
InterDigital Technology Corporation,5
Convida Wireless LLC,5
Sun Patent Trust,4
Kyocera Corporation,4
Koninklijke Philips NV,4
Innovative Technology Lab Co Ltd,4
Industrial Technology Research Institute,4
Core Wireless Licensing Sarl,4
BlackBerry LTD,4
BENQ Corporation,4
Alcatel-Lucent USA Inc,4
Zhigu Holdings Limited,3
Xiaomi Inc,3
Xiaomi HK Limited,3
VoiceAge Corporation,3
Tantivy Communications Inc,3
Sisvel International SA,3
Shanghai Langbo Communication Technology Co Ltd,3
Optis Wireless Technology LLC,3
Optis Cellular Technology LLC,3
Nokia of America Corporation,3
Innovative Sonic Corporation,3
Dilithium Networks Inc,3
ASUSTeK Computer Inc,3
3G Licensing SA,3
Vodafone IP Licensing Limited,2
Vodafone Group Plc,2
Unwired Planet LLC,2
Telecom Italia SpA,2
TDF SAS,2
Spectacular,2
Siemens Aktiengesellschaft,2
SHENZEN TCL NEW TECHNOLOGY CO LTD,2
Nokia Solutions (Shanghai) Co Ltd,2
NEC Corporation (ARIB),2
Motorola Mobility LLC,2
Mitsubishi Electric Corp,2
Koninklijke Philips Electronics NV,2
KDDI Corporation (TTC),2
Institute for Information Industry,2
Innovative Sonic Ltd,2
Hughes Network Systems Inc,2
Hewlett-Packard Enterprise,2
HMD Global Oy,2
Electronics & Telecommunications Research Institute,2
DENSO CORPORATION,2
Conversant Wireless Licensing SARL,2
BROADCOM CORPORATION,2
Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co Ltd,2
Airbiquity Incorporated,2
-1,2
vivo Mobile Communication Co Ltd,1
Wistron Corporation,1
Wi-Fi One LLC,1
Vringo Infrastructure Inc,1
VirnetX Inc,1
Vimatix,1
VODAFONE LTD,1
VID SCALE INC,1
Unwired Planet International Ltd,1
TriSpace Technologies (OPC) Pvt Ltd,1
Toshiba Corporation,1
Telit Communications SpA,1
TOYOTA MOTOR CORPORATION,1
THALES SA,1
THALES,1
Sun Microsystems Inc,1
Pantech Co Ltd,1
Panasonic Mobile Communications,1
Panasonic Corporation,1
Mitsubishi Electric Telecom Europe SA,1
Mitsubishi Electric R&D Centre Europe,1
Mitsubishi Electric Information Technology Centre Europe BV,1
Microsoft Corp,1
Marvell Switzerland SARL,1
KT Corporation,1
KDDI Corporation,1
JRD COMMUNICATION (SHENZHEN) LTD,1
IoT Holdings Inc,1
Innovative Sonic Limited,1
Infineon Technologies,1
IPCom GmbH & CoKG,1
Godo Kaisha IP Bridge 1,1
Gemplus SA,1
Gemalto SA,1
Fraunhofer Institut für Integrierte Schaltungen IIS,1
Comba Network Systems Company Limited,1
Coding Technologies AB,1
Apple (UK) Limited,1
Apogee Networks LLC,1
Anirudh Singh And Company,1
Alcatel-Lucent Deutschland AG,1
AePONA LTD,1
AUMOVIO Germany GmbH,1
AT&T Intellectual Property II LLC,1
AT&T,1
