label,count
Samsung Electronics Co LTD,4206
Huawei Technologies Co Ltd,3906
ZTE Corporation,3201
Qualcomm Incorporated,3191
LG Electronics Inc,2971
Apple Inc,2561
NTT DOCOMO INC,2337
Nokia Technologies Oy,2304
Guangdong OPPO Mobile Telecommunications Corp Ltd,2076
Telefonaktiebolaget LM Ericsson,1789
SHARP Corporation,1628
Nokia Corporation,1565
China Mobile Communications Corporation,1011
Intel Corporation,917
China Academy of Telecommunications Technology (CATT),869
Motorola Mobility Inc,847
NEC Corporation,831
Panasonic Holdings Corporation,812
Sharp Corporation,762
WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC,743
Beijing Xiaomi Mobile Software Co Ltd,621
CATT(Datang),558
Electronics and Telecommunications Research Institute,504
InterDigital Holdings Inc,490
Kyocera Corporation,433
Nokia Networks Oy,397
Nokia Solutions and Networks Oy,388
InterDigital Technology Corp,349
Sun Patent Trust,346
Sony Group Corporation,317
MediaTek Incorporated,308
KT Corporation,308
Google Ireland Limited,296
Siemens AG,290
InterDigital Patent Holdings Inc,290
Sony Corporation,265
Orange,261
Nokia Solutions and Networks GmbH & Co KG,260
HTC Corporation,256
QUALCOMM Inc,238
Alcatel Lucent,220
Fujitsu Limited,199
FG Innovation Company Limited,192
Research in Motion Limited,182
Deutsche Telekom AG,156
Innovative Technology Lab Co Ltd,148
Godo Kaisha IP Bridge 1,142
Texas Instruments Inc,137
Lenovo,137
BlackBerry UK Limited,137
Acer Incorporated,115
Motorola Mobility LLC,114
Optis Wireless Technology LLC,103
Nortel Networks Ltd,97
ALCATEL-LUCENT,90
KDDI Corporation (TTC),84
Shanghai Langbo Communication Technology Co Ltd,77
InterDigital Technology Corporation,75
Fraunhofer Institut für Integrierte Schaltungen IIS,73
Koninklijke Philips NV,72
Dolby International AB,67
Convida Wireless LLC,67
Innovative Sonic Corporation,66
Industrial Technology Research Institute,63
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung eV,62
JRD COMMUNICATION (SHENZHEN) LTD,59
Ofinno LLC,56
ASUSTeK Computer Inc,52
Dolby Laboratories Licensing Corporation,50
3G Licensing SA,50
Pantech Co Ltd,49
Unwired Planet LLC,47
Spreadtrum Communications (Shanghai) Co Ltd,41
Spectacular,40
Core Wireless Licensing Sarl,39
Innovative Sonic Ltd,36
IPR Licensing Inc,36
Telit Communications SpA,34
NEC Corporation (ARIB),34
Microsoft Corp,33
Optis Cellular Technology LLC,32
Koninklijke KPN NV,32
vivo Mobile Communication Co Ltd,31
MOTOROLA Inc,29
Coding Technologies AB,29
VoiceAge Corporation,23
HMD Global Oy,23
Vodafone Group Plc,22
Sisvel International SA,22
Panasonic Corporation,21
Institute for Information Industry,21
Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co Ltd,20
THALES,19
Siemens Aktiengesellschaft,17
Hubei Xingji Meizu Group Co Ltd,17
SHENZHEN TRANSSION HOLDINGS COLTD,16
General Dynamics UK Limited,16
Apple (UK) Limited,16
Xiaomi HK Limited,15
THALES SA,15
TCT Mobile Limited,15
Sierra Wireless Inc,15
Unwired Planet International Ltd,14
Mitsubishi Electric R&D Centre Europe,14
Xiaomi Inc,13
Ukpik Mobile Technologies LLC,13
Marvell Switzerland SARL,13
TOYOTA MOTOR CORPORATION,12
SHENZEN TCL NEW TECHNOLOGY CO LTD,12
Freescale Semiconductor Inc,12
Alcatel-Lucent USA Inc,12
Toshiba Corporation,10
Alcatel-Lucent Deutschland AG,10
Nokia of America Corporation,9
KDDI Corporation,9
DENSO CORPORATION,9
Electronics & Telecommunications Research Institute,8
Andrew LLC,8
Conversant Wireless Licensing SARL,7
Wi-Fi One LLC,6
Vodafone IP Licensing Limited,6
Telecom Italia SpA,6
Renesas Mobile Corporation,6
Mitsubishi Electric Corp,6
BlackBerry LTD,6
Xiaomi Communications CoLtd,5
Vringo Infrastructure Inc,5
SK Telecom Co LTD,5
LENOVO,5
Alcatel-Lucent Shanghai Bell Co Ltd,5
-1,5
Zhigu Holdings Limited,4
VirnetX Inc,4
Koninklijke Philips Electronics NV,4
IPCom GmbH & CoKG,4
Hyundai Motor Company,4
ECARX (Hubei) Tech Co Ltd,4
AT&T Intellectual Property II LLC,4
Wistron Corporation,3
Tantivy Communications Inc,3
TCL Communication Technology Holdings Limited,3
Sun Microsystems Inc,3
Nokia Solutions (Shanghai) Co Ltd,3
Infineon Technologies,3
CASSIDIAN,3
BENQ Corporation,3
Apogee Networks LLC,3
Vimatix,2
TruePosition Inc,2
Ruijie Network Co Ltd,2
Innovative Sonic Limited,2
Hewlett-Packard Enterprise,2
Fraunhofer Institute for Telecommunications Heinrich Hertz Institute,2
BROADCOM CORPORATION,2
AT&T,2
u-blox AG,1
iCODING Technology Inc,1
VID SCALE INC,1
TriSpace Technologies (OPC) Pvt Ltd,1
Teleste Oyj,1
Satelio IoT Services,1
Purplevine Innovation Company Limited,1
PicoChip Limited,1
IoT Holdings Inc,1
Inventec appliance corporation,1
Inventec Appliances (Jiangning) Corporation,1
IDPA Holdings Inc,1
Gemplus SA,1
Gemalto SA,1
Comba Network Systems Company Limited,1
Cisco Systems Inc,1
Bräu Verwaltungsgesellschaft mit beschränkter Haftung,1
Anirudh Singh And Company,1
Alcatel Lucent Worldwide except Alcatel Lucent and Alcatel Lucent Shanghai Bell Co Ltd in China,1
Alcatel,1
AUMOVIO Germany GmbH,1
A2Z Development Center Inc (d/b/a Lab126),1
