label,count
Nokia Technologies Oy,277
ZTE Corporation,240
LG Electronics Inc,180
Samsung Electronics Co LTD,149
Nokia Corporation,145
Qualcomm Incorporated,134
Huawei Technologies Co Ltd,127
Telefonaktiebolaget LM Ericsson,113
Orange,93
Nokia Solutions and Networks Oy,86
Guangdong OPPO Mobile Telecommunications Corp Ltd,77
NTT DOCOMO INC,69
NEC Corporation,68
ALCATEL-LUCENT,61
Alcatel Lucent,58
Siemens AG,55
Nokia Networks Oy,49
CATT(Datang),37
Beijing Xiaomi Mobile Software Co Ltd,37
Intel Corporation,34
Acer Incorporated,34
Apple Inc,32
Research in Motion Limited,28
Nokia Solutions and Networks GmbH & Co KG,27
InterDigital Holdings Inc,27
FG Innovation Company Limited,25
China Mobile Communications Corporation,24
BlackBerry UK Limited,24
Sharp Corporation,23
Koninklijke KPN NV,21
Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co Ltd,20
Electronics and Telecommunications Research Institute,19
ASUSTeK Computer Inc,19
WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC,18
Lenovo,18
Deutsche Telekom AG,17
Panasonic Holdings Corporation,16
Fujitsu Limited,16
MediaTek Incorporated,15
Google Ireland Limited,15
QUALCOMM Inc,14
Nortel Networks Ltd,14
China Academy of Telecommunications Technology (CATT),13
InterDigital Patent Holdings Inc,12
SHARP Corporation,11
Alcatel-Lucent USA Inc,11
Sony Corporation,10
SHENZHEN TRANSSION HOLDINGS COLTD,10
Spreadtrum Communications (Shanghai) Co Ltd,9
Sony Group Corporation,9
Sierra Wireless Inc,9
Motorola Mobility Inc,9
MOTOROLA Inc,9
Industrial Technology Research Institute,9
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung eV,9
Texas Instruments Inc,8
Ofinno LLC,8
IPR Licensing Inc,8
HTC Corporation,8
InterDigital Technology Corp,7
Institute for Information Industry,7
Innovative Technology Lab Co Ltd,7
Convida Wireless LLC,7
Unwired Planet LLC,6
Telecom Italia SpA,6
Shanghai Langbo Communication Technology Co Ltd,6
Kyocera Corporation,6
KT Corporation,6
Innovative Sonic Corporation,6
BlackBerry LTD,6
vivo Mobile Communication Co Ltd,5
Sisvel International SA,5
SHENZEN TCL NEW TECHNOLOGY CO LTD,5
Renesas Mobile Corporation,5
InterDigital Technology Corporation,5
Alcatel-Lucent Shanghai Bell Co Ltd,5
Xiaomi HK Limited,4
THALES,4
Sun Patent Trust,4
Pantech Co Ltd,4
Optis Wireless Technology LLC,4
Nokia of America Corporation,4
Koninklijke Philips NV,4
General Dynamics UK Limited,4
Core Wireless Licensing Sarl,4
Zhigu Holdings Limited,3
Xiaomi Inc,3
Wistron Corporation,3
VoiceAge Corporation,3
Unwired Planet International Ltd,3
TCL Communication Technology Holdings Limited,3
Spectacular,3
Optis Cellular Technology LLC,3
Nokia Solutions (Shanghai) Co Ltd,3
JRD COMMUNICATION (SHENZHEN) LTD,3
Godo Kaisha IP Bridge 1,3
Conversant Wireless Licensing SARL,3
BENQ Corporation,3
3G Licensing SA,3
Xiaomi Communications CoLtd,2
Vringo Infrastructure Inc,2
Vodafone IP Licensing Limited,2
Vodafone Group Plc,2
Ukpik Mobile Technologies LLC,2
Toshiba Corporation,2
Telit Communications SpA,2
TOYOTA MOTOR CORPORATION,2
Siemens Aktiengesellschaft,2
Panasonic Corporation,2
NEC Corporation (ARIB),2
Motorola Mobility LLC,2
Mitsubishi Electric R&D Centre Europe,2
Marvell Switzerland SARL,2
KDDI Corporation (TTC),2
KDDI Corporation,2
Hewlett-Packard Enterprise,2
HMD Global Oy,2
Freescale Semiconductor Inc,2
Electronics & Telecommunications Research Institute,2
DENSO CORPORATION,2
Apogee Networks LLC,2
AT&T,2
-1,2
u-blox AG,1
iCODING Technology Inc,1
Wi-Fi One LLC,1
VirnetX Inc,1
Vimatix,1
VID SCALE INC,1
TruePosition Inc,1
TriSpace Technologies (OPC) Pvt Ltd,1
Teleste Oyj,1
Tantivy Communications Inc,1
THALES SA,1
TCT Mobile Limited,1
Sun Microsystems Inc,1
Satelio IoT Services,1
SK Telecom Co LTD,1
Ruijie Network Co Ltd,1
Purplevine Innovation Company Limited,1
PicoChip Limited,1
Mitsubishi Electric Corp,1
Microsoft Corp,1
LENOVO,1
Koninklijke Philips Electronics NV,1
IoT Holdings Inc,1
Inventec appliance corporation,1
Inventec Appliances (Jiangning) Corporation,1
Innovative Sonic Ltd,1
Innovative Sonic Limited,1
Infineon Technologies,1
IPCom GmbH & CoKG,1
IDPA Holdings Inc,1
Hyundai Motor Company,1
Hubei Xingji Meizu Group Co Ltd,1
Gemplus SA,1
Gemalto SA,1
Fraunhofer Institute for Telecommunications Heinrich Hertz Institute,1
Fraunhofer Institut für Integrierte Schaltungen IIS,1
ECARX (Hubei) Tech Co Ltd,1
Dolby Laboratories Licensing Corporation,1
Dolby International AB,1
Comba Network Systems Company Limited,1
Coding Technologies AB,1
Cisco Systems Inc,1
CASSIDIAN,1
Bräu Verwaltungsgesellschaft mit beschränkter Haftung,1
BROADCOM CORPORATION,1
Apple (UK) Limited,1
Anirudh Singh And Company,1
Andrew LLC,1
Alcatel-Lucent Deutschland AG,1
Alcatel Lucent Worldwide except Alcatel Lucent and Alcatel Lucent Shanghai Bell Co Ltd in China,1
Alcatel,1
AUMOVIO Germany GmbH,1
AT&T Intellectual Property II LLC,1
A2Z Development Center Inc (d/b/a Lab126),1
