label,count
Huawei Technologies Co Ltd,10685
Samsung Electronics Co LTD,8520
ZTE Corporation,7943
Guangdong OPPO Mobile Telecommunications Corp Ltd,7833
LG Electronics Inc,7568
Nokia Technologies Oy,5738
Qualcomm Incorporated,5401
Beijing Xiaomi Mobile Software Co Ltd,5323
Telefonaktiebolaget LM Ericsson,4049
China Mobile Communications Corporation,3531
vivo Mobile Communication Co Ltd,3485
CATT(Datang),3139
NTT DOCOMO INC,3114
Apple Inc,2881
Sharp Corporation,2051
InterDigital Holdings Inc,1477
MediaTek Incorporated,1317
NEC Corporation,1136
Ofinno LLC,842
Spreadtrum Communications (Shanghai) Co Ltd,839
Intel Corporation,753
Electronics & Telecommunications Research Institute,740
Nokia Solutions and Networks Oy,670
Shanghai Langbo Communication Technology Co Ltd,666
ASUSTeK Computer Inc,526
FG Innovation Company Limited,515
Sony Group Corporation,455
Lenovo,449
Kyocera Corporation,432
WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC,420
Alcatel Lucent,415
SHARP Corporation,399
Fujitsu Limited,378
Electronics and Telecommunications Research Institute,378
QUALCOMM Inc,371
China Academy of Telecommunications Technology (CATT),369
Orange,339
Apogee Networks LLC,324
Google Ireland Limited,272
KT Corporation,265
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung eV,229
Nokia Corporation,226
HTC Corporation,226
Deutsche Telekom AG,220
Panasonic Holdings Corporation,185
Hyundai Motor Company,163
Koninklijke Philips NV,151
KDDI Corporation (TTC),137
InterDigital Patent Holdings Inc,137
DENSO CORPORATION,137
Convida Wireless LLC,129
SHENZHEN TRANSSION HOLDINGS COLTD,126
Motorola Mobility Inc,118
Industrial Technology Research Institute,111
BlackBerry UK Limited,98
Innovative Technology Lab Co Ltd,93
InterDigital Technology Corp,92
Spectacular,89
Research in Motion Limited,89
SHENZEN TCL NEW TECHNOLOGY CO LTD,87
Acer Incorporated,84
NEC Corporation (ARIB),78
Dolby International AB,66
Nokia Networks Oy,64
Fraunhofer Institut für Integrierte Schaltungen IIS,61
Sun Patent Trust,52
Dolby Laboratories Licensing Corporation,50
Sony Corporation,48
Nokia of America Corporation,48
TCT Mobile Limited,47
Nokia Solutions (Shanghai) Co Ltd,47
Siemens AG,45
TOYOTA MOTOR CORPORATION,34
KDDI Corporation,34
InterDigital Technology Corporation,33
Hubei Xingji Meizu Group Co Ltd,30
Mitsubishi Electric R&D Centre Europe,29
Koninklijke KPN NV,29
IDAC Holdings Inc,29
New H3C Technologies Co Ltd,28
Panasonic Corporation,26
PanOptis Patent Management LLC,25
IPCom GmbH & CoKG,25
Ukpik Mobile Technologies LLC,21
VoiceAge Corporation,20
Innovative Sonic Corporation,20
Xiaomi Communications CoLtd,19
Xiaomi HK Limited,17
Innovative Sonic Limited,17
Institute for Information Industry,16
Wistron Corporation,15
Vodafone Group Plc,13
Godo Kaisha IP Bridge 1,13
AUMOVIO Germany GmbH,12
Mitsubishi Electric Corp,11
JRD COMMUNICATION (SHENZHEN) LTD,11
ALCATEL-LUCENT,11
SK Telecom Co LTD,10
Ruijie Network Co Ltd,10
Nokia Solutions and Networks GmbH & Co KG,10
Microsoft Corp,10
Fraunhofer Institute for Telecommunications Heinrich Hertz Institute,10
THALES,9
Sisvel International SA,9
Purplevine Innovation Company Limited,9
MOTOROLA Inc,9
HMD Global Oy,9
Core Wireless Licensing Sarl,9
ECARX (Hubei) Tech Co Ltd,8
3G Licensing SA,8
Xiaomi Inc,7
IPR Licensing Inc,7
Toshiba Corporation,6
Motorola Mobility LLC,6
Telit Communications SpA,5
Sierra Wireless Inc,5
LENOVO,5
Apple (UK) Limited,5
VirnetX Inc,4
Polaran,4
Optis Wireless Technology LLC,4
National Instruments Corporation,4
Conversant Wireless Licensing SARL,4
CANON INC,4
Zhigu Holdings Limited,3
Telecom Italia SpA,3
Sun Microsystems Inc,3
Siemens Aktiengesellschaft,3
Ericsson Telefonaktiebolaget LM,3
Coding Technologies AB,3
Beijing Moqiu Technology Co Ltd,3
Vimatix,2
Renesas Mobile Corporation,2
Nortel Networks Ltd,2
Lite-On Technology Corporation,2
InterDigital CE Intermediate SAS,2
BlackBerry LTD,2
BENQ Corporation,2
Alcatel-Lucent Deutschland AG,2
Vringo Infrastructure Inc,1
Unwired Planet International Ltd,1
TriSpace Technologies (OPC) Pvt Ltd,1
Teleste Oyj,1
THALES SA,1
Quectel Wireless Solutions Co Ltd,1
Koninklijke Philips Electronics NV,1
IDTP Holdings Inc,1
Hewlett-Packard Enterprise,1
General Dynamics UK Limited,1
Comba Network Systems Company Limited,1
Anirudh Singh And Company,1
Alcatel-Lucent USA Inc,1
Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co Ltd,1
AT&T Intellectual Property II LLC,1
