label,count
Nokia Corporation,107
Qualcomm Incorporated,101
Nokia Technologies Oy,76
NEC Corporation,63
Huawei Technologies Co Ltd,60
Siemens AG,57
Samsung Electronics Co LTD,56
Telefonaktiebolaget LM Ericsson,53
NTT DOCOMO INC,53
LG Electronics Inc,50
Orange,49
Alcatel Lucent,36
ZTE Corporation,32
Guangdong OPPO Mobile Telecommunications Corp Ltd,32
ALCATEL-LUCENT,27
Nokia Networks Oy,25
Intel Corporation,21
Research in Motion Limited,19
Nokia Solutions and Networks Oy,19
InterDigital Holdings Inc,16
Apple Inc,16
Nokia Solutions and Networks GmbH & Co KG,15
BlackBerry UK Limited,15
Sharp Corporation,12
Koninklijke KPN NV,12
InterDigital Patent Holdings Inc,11
Alcatel,11
Fujitsu Limited,10
FG Innovation Company Limited,10
SHARP Corporation,9
China Mobile Communications Corporation,9
Sony Group Corporation,8
Sony Corporation,8
Nortel Networks Ltd,8
InterDigital Technology Corp,8
HTC Corporation,8
QUALCOMM Inc,7
Texas Instruments Inc,6
Panasonic Holdings Corporation,6
Motorola Mobility Inc,6
MOTOROLA Inc,6
General Dynamics UK Limited,6
Deutsche Telekom AG,6
InterDigital Technology Corporation,5
Google Ireland Limited,5
Evolium SAS,5
Convida Wireless LLC,5
Sun Patent Trust,4
Kyocera Corporation,4
Koninklijke Philips NV,4
Core Wireless Licensing Sarl,4
China Academy of Telecommunications Technology (CATT),4
Alcatel-Lucent USA Inc,4
Zhigu Holdings Limited,3
VoiceAge Corporation,3
Tantivy Communications Inc,3
Renesas Mobile Corporation,3
Optis Wireless Technology LLC,3
IPR Licensing Inc,3
Electronics and Telecommunications Research Institute,3
Beijing Xiaomi Mobile Software Co Ltd,3
Unwired Planet LLC,2
Spectacular,2
Sisvel International SA,2
Siemens Aktiengesellschaft,2
NEC Corporation (ARIB),2
Motorola Mobility LLC,2
Mitsubishi Electric Corp,2
MediaTek Incorporated,2
Koninklijke Philips Electronics NV,2
KDDI Corporation (TTC),2
Innovative Sonic Ltd,2
Innovative Sonic Corporation,2
Industrial Technology Research Institute,2
Hewlett-Packard Enterprise,2
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung eV,2
Conversant Wireless Licensing SARL,2
CATT(Datang),2
BlackBerry LTD,2
BENQ Corporation,2
Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co Ltd,2
Airbiquity Incorporated,2
Acer Incorporated,2
ASUSTeK Computer Inc,2
3G Licensing SA,2
Xiaomi HK Limited,1
Wi-Fi One LLC,1
Vringo Infrastructure Inc,1
VirnetX Inc,1
VID SCALE INC,1
Unwired Planet International Ltd,1
Toshiba Corporation,1
Telit Communications SpA,1
Telecom Italia SpA,1
TOYOTA MOTOR CORPORATION,1
Sun Microsystems Inc,1
Sierra Wireless Inc,1
Pantech Co Ltd,1
Panasonic Mobile Communications,1
Panasonic Corporation,1
Optis Cellular Technology LLC,1
Mitsubishi Electric Telecom Europe SA,1
Mitsubishi Electric R&D Centre Europe,1
Mitsubishi Electric Information Technology Centre Europe BV,1
Microsoft Corp,1
Marvell Switzerland SARL,1
Lenovo,1
KDDI Corporation,1
JRD COMMUNICATION (SHENZHEN) LTD,1
IoT Holdings Inc,1
Innovative Sonic Limited,1
Infineon Technologies,1
IPCom GmbH & CoKG,1
Hughes Network Systems Inc,1
Godo Kaisha IP Bridge 1,1
Gemplus SA,1
Fraunhofer Institut für Integrierte Schaltungen IIS,1
Dilithium Networks Inc,1
DENSO CORPORATION,1
Coding Technologies AB,1
BROADCOM CORPORATION,1
Apple (UK) Limited,1
Alcatel-Lucent Deutschland AG,1
AePONA LTD,1
AT&T Intellectual Property II LLC,1
AT&T,1
-1,1
