label,count
Qualcomm Incorporated,2351
NTT DOCOMO INC,2227
LG Electronics Inc,1500
Samsung Electronics Co LTD,1472
SHARP Corporation,1300
Guangdong OPPO Mobile Telecommunications Corp Ltd,1235
Nokia Corporation,1047
Apple Inc,874
Panasonic Holdings Corporation,808
Telefonaktiebolaget LM Ericsson,747
Huawei Technologies Co Ltd,737
NEC Corporation,727
Sharp Corporation,636
Intel Corporation,613
Nokia Technologies Oy,524
Motorola Mobility Inc,460
ZTE Corporation,457
WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC,449
Kyocera Corporation,428
Sun Patent Trust,336
InterDigital Holdings Inc,278
InterDigital Technology Corp,272
Sony Corporation,205
InterDigital Patent Holdings Inc,188
Fujitsu Limited,181
QUALCOMM Inc,174
Sony Group Corporation,167
Orange,159
Nokia Networks Oy,148
Siemens AG,131
Nokia Solutions and Networks GmbH & Co KG,128
Alcatel Lucent,119
Google Ireland Limited,115
China Academy of Telecommunications Technology (CATT),115
Godo Kaisha IP Bridge 1,111
Research in Motion Limited,104
Optis Wireless Technology LLC,93
KDDI Corporation (TTC),84
HTC Corporation,84
FG Innovation Company Limited,82
ALCATEL-LUCENT,77
BlackBerry UK Limited,75
Fraunhofer Institut für Integrierte Schaltungen IIS,72
MediaTek Incorporated,71
InterDigital Technology Corporation,65
Koninklijke Philips NV,64
Nokia Solutions and Networks Oy,57
Electronics and Telecommunications Research Institute,53
Convida Wireless LLC,53
China Mobile Communications Corporation,47
Innovative Sonic Corporation,46
Dolby International AB,42
Motorola Mobility LLC,40
CATT(Datang),38
Beijing Xiaomi Mobile Software Co Ltd,37
Innovative Sonic Ltd,36
3G Licensing SA,33
NEC Corporation (ARIB),31
Core Wireless Licensing Sarl,30
Coding Technologies AB,29
Texas Instruments Inc,28
Unwired Planet LLC,27
Optis Cellular Technology LLC,26
Dolby Laboratories Licensing Corporation,25
ASUSTeK Computer Inc,24
VoiceAge Corporation,23
Koninklijke KPN NV,23
Spectacular,21
Acer Incorporated,21
Pantech Co Ltd,20
Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co Ltd,20
Panasonic Corporation,19
IPR Licensing Inc,19
Deutsche Telekom AG,19
MOTOROLA Inc,18
Nortel Networks Ltd,16
Telit Communications SpA,15
Mitsubishi Electric R&D Centre Europe,12
General Dynamics UK Limited,12
TOYOTA MOTOR CORPORATION,11
Alcatel-Lucent USA Inc,11
Toshiba Corporation,10
Siemens Aktiengesellschaft,10
Marvell Switzerland SARL,10
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung eV,10
KDDI Corporation,9
JRD COMMUNICATION (SHENZHEN) LTD,9
Alcatel-Lucent Deutschland AG,9
DENSO CORPORATION,8
Apple (UK) Limited,8
vivo Mobile Communication Co Ltd,7
THALES SA,7
Industrial Technology Research Institute,7
HMD Global Oy,7
Wi-Fi One LLC,6
THALES,6
Sisvel International SA,6
Mitsubishi Electric Corp,6
Conversant Wireless Licensing SARL,6
Vringo Infrastructure Inc,5
Unwired Planet International Ltd,5
VirnetX Inc,4
SHENZEN TCL NEW TECHNOLOGY CO LTD,4
Koninklijke Philips Electronics NV,4
Zhigu Holdings Limited,3
Ukpik Mobile Technologies LLC,3
Telecom Italia SpA,3
Tantivy Communications Inc,3
Sun Microsystems Inc,3
Lenovo,3
Freescale Semiconductor Inc,3
Alcatel-Lucent Shanghai Bell Co Ltd,3
-1,3
TruePosition Inc,2
Microsoft Corp,2
Innovative Sonic Limited,2
Hewlett-Packard Enterprise,2
BlackBerry LTD,2
BROADCOM CORPORATION,2
BENQ Corporation,2
u-blox AG,1
Xiaomi HK Limited,1
VID SCALE INC,1
Sierra Wireless Inc,1
Satelio IoT Services,1
Renesas Mobile Corporation,1
PicoChip Limited,1
Ofinno LLC,1
Nokia of America Corporation,1
KT Corporation,1
IoT Holdings Inc,1
Infineon Technologies,1
IPCom GmbH & CoKG,1
IDPA Holdings Inc,1
Hyundai Motor Company,1
Gemplus SA,1
Fraunhofer Institute for Telecommunications Heinrich Hertz Institute,1
Bräu Verwaltungsgesellschaft mit beschränkter Haftung,1
Alcatel Lucent Worldwide except Alcatel Lucent and Alcatel Lucent Shanghai Bell Co Ltd in China,1
Alcatel,1
AT&T Intellectual Property II LLC,1
AT&T,1
