label,count
Qualcomm Incorporated,1524
LG Electronics Inc,1319
Samsung Electronics Co LTD,1091
NTT DOCOMO INC,1053
Telefonaktiebolaget LM Ericsson,687
Huawei Technologies Co Ltd,644
NEC Corporation,549
Sharp Corporation,535
Guangdong OPPO Mobile Telecommunications Corp Ltd,480
ZTE Corporation,418
Intel Corporation,377
Kyocera Corporation,362
Panasonic Holdings Corporation,349
Nokia Corporation,300
SHARP Corporation,298
Nokia Technologies Oy,291
WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC,233
Apple Inc,206
InterDigital Technology Corp,189
Sony Corporation,181
InterDigital Patent Holdings Inc,175
Fujitsu Limited,175
Motorola Mobility Inc,165
Nokia Networks Oy,141
InterDigital Holdings Inc,131
Sony Group Corporation,126
QUALCOMM Inc,120
China Academy of Telecommunications Technology (CATT),110
Alcatel Lucent,99
Research in Motion Limited,92
MediaTek Incorporated,69
KDDI Corporation (TTC),68
HTC Corporation,66
Sun Patent Trust,65
Siemens AG,64
ALCATEL-LUCENT,62
Koninklijke Philips NV,61
Fraunhofer Institut für Integrierte Schaltungen IIS,60
InterDigital Technology Corporation,59
BlackBerry UK Limited,57
Google Ireland Limited,51
Orange,50
Electronics and Telecommunications Research Institute,49
Optis Wireless Technology LLC,46
FG Innovation Company Limited,43
China Mobile Communications Corporation,43
Dolby International AB,41
Godo Kaisha IP Bridge 1,37
Convida Wireless LLC,37
Motorola Mobility LLC,36
Innovative Sonic Ltd,36
Innovative Sonic Corporation,35
Nokia Solutions and Networks GmbH & Co KG,34
Beijing Xiaomi Mobile Software Co Ltd,34
NEC Corporation (ARIB),29
Nokia Solutions and Networks Oy,28
Core Wireless Licensing Sarl,26
CATT(Datang),26
Dolby Laboratories Licensing Corporation,25
ASUSTeK Computer Inc,23
Texas Instruments Inc,22
Acer Incorporated,21
VoiceAge Corporation,20
Pantech Co Ltd,20
Panasonic Corporation,19
IPR Licensing Inc,18
Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co Ltd,18
Deutsche Telekom AG,17
Unwired Planet LLC,14
Optis Cellular Technology LLC,14
MOTOROLA Inc,14
Mitsubishi Electric R&D Centre Europe,12
Koninklijke KPN NV,12
General Dynamics UK Limited,12
Spectacular,11
Marvell Switzerland SARL,10
Alcatel-Lucent USA Inc,10
Toshiba Corporation,9
TOYOTA MOTOR CORPORATION,9
JRD COMMUNICATION (SHENZHEN) LTD,9
Alcatel-Lucent Deutschland AG,9
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung eV,8
DENSO CORPORATION,8
3G Licensing SA,8
vivo Mobile Communication Co Ltd,6
THALES SA,6
Nortel Networks Ltd,6
Mitsubishi Electric Corp,6
Industrial Technology Research Institute,6
Sisvel International SA,5
VirnetX Inc,4
Telit Communications SpA,4
KDDI Corporation,4
Apple (UK) Limited,4
Zhigu Holdings Limited,3
Wi-Fi One LLC,3
Unwired Planet International Ltd,3
Telecom Italia SpA,3
Tantivy Communications Inc,3
Sun Microsystems Inc,3
Siemens Aktiengesellschaft,3
HMD Global Oy,3
Coding Technologies AB,3
Vringo Infrastructure Inc,2
Ukpik Mobile Technologies LLC,2
TruePosition Inc,2
Microsoft Corp,2
Lenovo,2
Innovative Sonic Limited,2
Hewlett-Packard Enterprise,2
Conversant Wireless Licensing SARL,2
BlackBerry LTD,2
u-blox AG,1
Xiaomi HK Limited,1
VID SCALE INC,1
THALES,1
Sierra Wireless Inc,1
Satelio IoT Services,1
Renesas Mobile Corporation,1
PicoChip Limited,1
Ofinno LLC,1
Nokia of America Corporation,1
Koninklijke Philips Electronics NV,1
KT Corporation,1
Infineon Technologies,1
IPCom GmbH & CoKG,1
IDPA Holdings Inc,1
Hyundai Motor Company,1
Gemplus SA,1
Fraunhofer Institute for Telecommunications Heinrich Hertz Institute,1
Bräu Verwaltungsgesellschaft mit beschränkter Haftung,1
BROADCOM CORPORATION,1
BENQ Corporation,1
Alcatel Lucent Worldwide except Alcatel Lucent and Alcatel Lucent Shanghai Bell Co Ltd in China,1
Alcatel,1
AT&T Intellectual Property II LLC,1
AT&T,1
-1,1
