label,count
Guangdong OPPO Mobile Telecommunications Corp Ltd,2799
Qualcomm Incorporated,1739
NTT DOCOMO INC,1277
Sharp Corporation,1151
Huawei Technologies Co Ltd,937
Samsung Electronics Co LTD,927
LG Electronics Inc,868
Telefonaktiebolaget LM Ericsson,791
NEC Corporation,719
ZTE Corporation,588
vivo Mobile Communication Co Ltd,505
Nokia Technologies Oy,471
Kyocera Corporation,422
InterDigital Holdings Inc,258
Fujitsu Limited,253
WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC,233
QUALCOMM Inc,227
Sony Group Corporation,212
Alcatel Lucent,211
FG Innovation Company Limited,167
ASUSTeK Computer Inc,154
Nokia Corporation,149
China Mobile Communications Corporation,145
KDDI Corporation (TTC),135
Panasonic Holdings Corporation,128
Koninklijke Philips NV,126
Apple Inc,115
Intel Corporation,109
DENSO CORPORATION,99
Convida Wireless LLC,86
Orange,82
Beijing Xiaomi Mobile Software Co Ltd,80
InterDigital Technology Corp,78
InterDigital Patent Holdings Inc,71
CATT(Datang),64
Fraunhofer Institut für Integrierte Schaltungen IIS,60
SHARP Corporation,58
NEC Corporation (ARIB),57
Google Ireland Limited,56
Research in Motion Limited,52
Sun Patent Trust,51
HTC Corporation,51
Nokia Solutions and Networks Oy,50
MediaTek Incorporated,49
Motorola Mobility Inc,48
Acer Incorporated,47
Spectacular,45
BlackBerry UK Limited,42
Dolby International AB,41
Ofinno LLC,38
KDDI Corporation,36
Sony Corporation,32
InterDigital Technology Corporation,29
Electronics and Telecommunications Research Institute,28
Dolby Laboratories Licensing Corporation,25
Panasonic Corporation,24
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung eV,24
Deutsche Telekom AG,23
Siemens AG,22
PanOptis Patent Management LLC,21
VoiceAge Corporation,20
Innovative Sonic Limited,17
Mitsubishi Electric R&D Centre Europe,15
Spreadtrum Communications (Shanghai) Co Ltd,14
Nokia Networks Oy,14
Lenovo,14
Innovative Sonic Corporation,14
TOYOTA MOTOR CORPORATION,12
Nokia of America Corporation,12
Koninklijke KPN NV,12
Godo Kaisha IP Bridge 1,11
China Academy of Telecommunications Technology (CATT),11
New H3C Technologies Co Ltd,10
Mitsubishi Electric Corp,10
IPCom GmbH & CoKG,9
Industrial Technology Research Institute,8
ALCATEL-LUCENT,8
MOTOROLA Inc,7
Core Wireless Licensing Sarl,7
Toshiba Corporation,6
Nokia Solutions and Networks GmbH & Co KG,6
3G Licensing SA,6
SK Telecom Co LTD,5
Wistron Corporation,4
VirnetX Inc,4
Optis Wireless Technology LLC,4
Conversant Wireless Licensing SARL,4
Apple (UK) Limited,4
Zhigu Holdings Limited,3
Xiaomi HK Limited,3
Sun Microsystems Inc,3
Sisvel International SA,3
IPR Licensing Inc,3
Coding Technologies AB,3
CANON INC,3
Ukpik Mobile Technologies LLC,2
Telit Communications SpA,2
Shanghai Langbo Communication Technology Co Ltd,2
Nortel Networks Ltd,2
IDAC Holdings Inc,2
HMD Global Oy,2
Electronics & Telecommunications Research Institute,2
BlackBerry LTD,2
Alcatel-Lucent Deutschland AG,2
Vringo Infrastructure Inc,1
Unwired Planet International Ltd,1
Telecom Italia SpA,1
THALES,1
Sierra Wireless Inc,1
Siemens Aktiengesellschaft,1
Motorola Mobility LLC,1
Microsoft Corp,1
Koninklijke Philips Electronics NV,1
JRD COMMUNICATION (SHENZHEN) LTD,1
IDTP Holdings Inc,1
Hyundai Motor Company,1
Hewlett-Packard Enterprise,1
General Dynamics UK Limited,1
Fraunhofer Institute for Telecommunications Heinrich Hertz Institute,1
Ericsson Telefonaktiebolaget LM,1
BENQ Corporation,1
Alcatel-Lucent USA Inc,1
Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co Ltd,1
