label,count
LG Electronics Inc,207
Nokia Technologies Oy,147
Qualcomm Incorporated,130
Telefonaktiebolaget LM Ericsson,110
ZTE Corporation,109
Huawei Technologies Co Ltd,102
Samsung Electronics Co LTD,84
Guangdong OPPO Mobile Telecommunications Corp Ltd,77
NTT DOCOMO INC,73
Nokia Corporation,71
NEC Corporation,58
Alcatel Lucent,38
Acer Incorporated,33
Nokia Solutions and Networks Oy,31
Sharp Corporation,30
Orange,29
Intel Corporation,27
FG Innovation Company Limited,27
Siemens AG,25
Apple Inc,25
InterDigital Holdings Inc,24
China Mobile Communications Corporation,22
vivo Mobile Communication Co Ltd,17
QUALCOMM Inc,17
Fujitsu Limited,17
BlackBerry UK Limited,17
ASUSTeK Computer Inc,17
WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC,15
Research in Motion Limited,15
Koninklijke KPN NV,14
Beijing Xiaomi Mobile Software Co Ltd,14
InterDigital Patent Holdings Inc,12
Nokia Networks Oy,11
SHARP Corporation,10
Panasonic Holdings Corporation,10
Deutsche Telekom AG,10
Sony Group Corporation,9
CATT(Datang),9
Nokia Solutions and Networks GmbH & Co KG,8
HTC Corporation,8
Google Ireland Limited,8
Sun Patent Trust,7
Sony Corporation,7
InterDigital Technology Corp,7
Convida Wireless LLC,7
MediaTek Incorporated,6
MOTOROLA Inc,6
Kyocera Corporation,6
ALCATEL-LUCENT,6
Spreadtrum Communications (Shanghai) Co Ltd,5
Motorola Mobility Inc,5
Mitsubishi Electric R&D Centre Europe,5
InterDigital Technology Corporation,5
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung eV,5
Spectacular,4
PanOptis Patent Management LLC,4
Electronics & Telecommunications Research Institute,4
DENSO CORPORATION,4
Zhigu Holdings Limited,3
Wistron Corporation,3
VoiceAge Corporation,3
Ofinno LLC,3
Nortel Networks Ltd,3
Koninklijke Philips NV,3
KDDI Corporation (TTC),3
Electronics and Telecommunications Research Institute,3
China Academy of Telecommunications Technology (CATT),3
Unwired Planet LLC,2
Telit Communications SpA,2
TOYOTA MOTOR CORPORATION,2
Sisvel International SA,2
Siemens Aktiengesellschaft,2
Panasonic Corporation,2
Optis Wireless Technology LLC,2
Nokia of America Corporation,2
NEC Corporation (ARIB),2
Mitsubishi Electric Corp,2
Lenovo,2
KDDI Corporation,2
Innovative Sonic Corporation,2
Industrial Technology Research Institute,2
Core Wireless Licensing Sarl,2
BlackBerry LTD,2
BENQ Corporation,2
3G Licensing SA,2
Xiaomi HK Limited,1
Vringo Infrastructure Inc,1
VirnetX Inc,1
Unwired Planet International Ltd,1
Ukpik Mobile Technologies LLC,1
Toshiba Corporation,1
Telecom Italia SpA,1
THALES,1
Sun Microsystems Inc,1
Sierra Wireless Inc,1
Shanghai Langbo Communication Technology Co Ltd,1
SK Telecom Co LTD,1
New H3C Technologies Co Ltd,1
Motorola Mobility LLC,1
Microsoft Corp,1
Koninklijke Philips Electronics NV,1
JRD COMMUNICATION (SHENZHEN) LTD,1
Innovative Sonic Limited,1
IPR Licensing Inc,1
IPCom GmbH & CoKG,1
IDTP Holdings Inc,1
IDAC Holdings Inc,1
Hyundai Motor Company,1
Hewlett-Packard Enterprise,1
HMD Global Oy,1
Godo Kaisha IP Bridge 1,1
General Dynamics UK Limited,1
Fraunhofer Institute for Telecommunications Heinrich Hertz Institute,1
Fraunhofer Institut für Integrierte Schaltungen IIS,1
Ericsson Telefonaktiebolaget LM,1
Dolby Laboratories Licensing Corporation,1
Dolby International AB,1
Conversant Wireless Licensing SARL,1
Coding Technologies AB,1
CANON INC,1
Apple (UK) Limited,1
Alcatel-Lucent USA Inc,1
Alcatel-Lucent Deutschland AG,1
Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co Ltd,1
-1,1
